concurrency,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_avg,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_avg,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
1,762.8690772499999,174.593006,1601.5390009999999,637.672151,1445.1100829,1523.3245419499997,1585.8961091899998,606.688909843854,7.01419375,6.874184,7.4311229999999995,6.875734,7.2647121,7.347917549999999,7.41448191,0.24071553519286515,4340.10795425,3680.4270549999997,5391.411803999999,4144.296479,5149.9033352999995,5270.6575696499995,5367.26095713,708.5169267408238,0.23011081432448666,117.58662611981269,142.72975323493142,134.56916269586708,145.47181163611563,145.43901930387153,145.46632712261464,145.46906937936512,145.47126318476552,4.711549336540224,profile,genai_perf_config.yaml,False,5000.5,5001.0,5000.0,5000.5,5001.0,5001.0,5001.0,0.5,511.0,511.0,511.0,511.0,511.0,511.0,511.0,0.0,4.0,78.6561395,289.903704,8.082832999999999,8.3190105,205.43218140000002,247.66794269999988,281.45655173999995,121.96387668581689
11,497.7761493181818,203.89405,948.1170129999999,463.9075615,727.6695346000001,939.1961914,948.10043994,192.9733059965068,9.946924704545454,9.755351,10.225997,9.957334,10.0868954,10.0884801,10.22594239,0.11015759957165905,5570.257701204545,5227.455022,6017.477441999999,5544.737489,5794.9578361,6017.3832715,6017.46590768,196.59657730553675,1.9345250625946229,988.4543740284616,100.54586660055607,97.78997588205824,102.50784415650446,100.42848818799438,101.91969518893426,102.47671769183737,102.5074375061471,1.1091323754960425,profile,genai_perf_config.yaml,False,5000.068181818182,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.25205764787294127,510.95454545454544,512.0,510.0,511.0,511.0,511.0,511.57,0.2980653874682727,44.0,23.945042636363635,147.512236,10.410058,18.6104405,21.147177199999998,22.8853658,147.50021019,27.103538909667698
21,627.7618064166666,67.498676,1136.607297,640.332034,1108.6411747999998,1129.26271505,1136.46380494,340.9714754553736,12.556516297619048,11.821004,12.868682999999999,12.682381,12.830445300000001,12.8410678,12.84770475,0.29467888545175747,7031.278509535714,6252.031169999999,7679.015767,7157.099853,7650.8644948,7651.1701802,7661.67701471,459.1676533829476,2.887040899905144,1475.2091607824832,79.68487719367047,77.70802964063999,84.59518328561602,78.84961903199111,82.78449174591893,83.80272102604532,84.59430421119798,1.9159552441930154,profile,genai_perf_config.yaml,False,5000.059523809524,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.2366024632660928,510.9761904761905,512.0,510.0,511.0,511.0,511.0,512.0,0.3076868567457164,84.0,22.79547207142857,28.768507,9.976996,24.398833999999997,27.579879199999997,28.112125249999995,28.68809826,4.4208283567666005
31,802.3770898790323,68.66354299999999,1488.2413319999998,849.757213,1439.1038642,1487.6252557,1488.03022994,476.40147559031226,13.672632524193547,12.654584999999999,13.994302,13.797545999999999,13.9303784,13.93934965,13.96339551,0.3195285982150102,7775.063144137096,6654.487728,8572.43435,7949.5712925,8523.4906999,8572.04350115,8572.371933569999,591.1796821030572,3.848507535945581,1966.4942418149028,73.18001420746059,71.4576546940319,79.02274155967976,72.47666370994493,75.60318996856971,76.79515544438148,78.95856929591568,1.7640168911338325,profile,genai_perf_config.yaml,False,5000.064516129032,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.2456701001891583,510.9758064516129,514.0,508.0,511.0,511.0,511.85,512.77,0.5602952804090887,124.0,23.786801,30.665055,9.740703,23.866794499999997,29.1185305,29.499824099999998,30.11145903,4.553814528162406
41,941.990448554878,83.040497,1873.2886919999999,920.0507875,1824.194372,1872.2932093,1872.63513938,565.4545992278526,16.17641982317073,15.224979999999999,16.702859,16.270713999999998,16.641454699999997,16.6553196,16.68781039,0.46227673125227914,9190.885424115853,8100.174838,10223.903874,9278.2519085,10209.2197905,10223.7110129,10223.888307239999,691.9615109096338,4.318853931379902,2206.6446797080253,61.87042201576761,59.86998992208459,65.68153127294748,61.46011785376446,65.490500508091,65.56732984575635,65.67973241004486,1.8218372752546979,profile,genai_perf_config.yaml,False,5000.054878048781,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.22774206581686707,510.9329268292683,512.0,509.0,511.0,511.0,511.0,512.0,0.36843600829319006,164.0,25.252073499999998,36.805828999999996,11.716324,25.2769165,34.765010499999995,35.1098316,36.20055032,7.13457655245502
51,1166.7739741862745,73.047716,2481.139854,1020.8670559999999,2425.059186,2479.9876204499997,2480.4033730399997,832.4660404441389,18.948556749999998,16.170417,19.739117,19.4357395,19.699642,19.7007556,19.701453309999998,0.9186423822193852,10828.959724132352,8732.035904999999,12527.791796,10681.6645395,12472.1772407,12527.1504212,12527.63297965,1169.6955269859216,4.533904970993926,2316.447614763647,52.90661660982488,50.66082743214906,61.841324190959334,51.451605558055384,58.04745099592685,58.9377491722574,59.300083360088564,2.7282723965947775,profile,genai_perf_config.yaml,False,5000.058823529412,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.23529411764705882,510.9166666666667,512.0,505.0,511.0,511.0,511.0,511.97,0.5125069742869949,204.0,29.615383240196078,43.418012999999995,10.094723,29.887869499999997,40.118713799999995,40.96980845,42.55801864,8.37007399524326
61,1625.7345030409836,80.32728,2833.097641,1536.0235785,2819.963639,2830.06061275,2831.8382151799997,972.1734132091025,19.51051151639344,13.218983999999999,20.779832,20.633304,20.7348861,20.73830535,20.73904704,1.4396091247038472,11575.69027070082,7223.3700069999995,13386.913256,12069.893840499999,13354.005553899999,13385.48256705,13386.63559364,1552.5832474961176,4.953598931298548,2531.167244083772,51.560261507611415,48.12358444476355,75.6487790589655,48.46533545974398,57.56277465286656,57.60502372238551,61.84787194689829,4.171283010520534,profile,genai_perf_config.yaml,False,5000.053278688524,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.22458866817738127,510.9754098360656,513.0,509.0,511.0,511.0,511.0,512.0,0.37247763172136933,244.0,29.84859958196721,44.683555,9.652731,27.3545685,43.0172777,43.63876344999999,44.28919783999999,8.713725354504273
71,1615.603816809859,95.830899,3193.212029,1854.492004,3050.4993299999996,3052.0536515999997,3192.89233626,1050.2326835302147,22.515167894366197,15.03792,24.301401,23.8290915,24.2338593,24.24981235,24.29627319,1.9409188226615317,13097.451401295773,8237.402537,15379.931466,14127.340422,15237.140655299998,15238.696430549999,15379.111733569998,1855.508022885649,5.143798181515068,2628.2816391344936,44.78267245750893,41.14989090546673,66.4985583112558,41.96551093897152,52.31278746513436,52.959521310201914,53.06501995129678,4.291729034748402,profile,genai_perf_config.yaml,False,5000.052816901409,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.22366778117122885,510.9612676056338,513.0,509.0,511.0,511.0,511.0,512.0,0.3685427319709794,284.0,33.46730703873239,54.202245,2.924444,30.5788925,50.801795999999996,51.42299035,52.63820832000001,11.426555997156992
81,3175.351125904321,708.446004,13592.828719,2970.005404,3758.2836672,5385.832921049992,10052.338917089963,1398.750714466899,23.322277444444442,14.616575,24.529228999999997,24.301499,24.4313103,24.433887149999997,24.47937785,1.9267986889319664,15068.66755195679,8368.373797,21328.055691999998,15225.1363085,15994.5156538,16182.99616125,19379.272049119973,1353.733009337315,5.102837749183528,2607.3295968436205,43.250322753535364,40.76768984463393,68.4154803707435,41.14972497044119,49.098648093371565,53.968137949597704,64.82094318801644,4.559852471743987,profile,genai_perf_config.yaml,False,5000.055555555556,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.2290614236454256,510.9567901234568,513.0,509.0,511.0,511.0,511.0,512.0,0.39045344693502393,324.0,28.915718188271605,278.589184,2.341141,27.639405999999997,45.765848,50.81617124999997,52.01900892,16.849594670588477
91,4625.277020214286,72.460635,18989.003997,3412.4796235,10605.485531099997,15358.851213449943,17713.32384442,3876.4884104370276,22.88583000274725,13.445471999999999,24.759905999999997,24.262463999999998,24.6646418,24.746582399999998,24.75793932,2.7008004322027435,16296.674239912089,7412.83707,31543.633081,15864.872611499999,21430.1631065,24940.646144299997,28374.071094970004,3701.9397375061917,5.1760327457984925,2644.853194011764,44.477407742461,40.38787546285515,74.37448086612355,41.21592928642582,55.70904729518296,60.98607895264561,64.00233163546694,6.6846636527207846,profile,genai_perf_config.yaml,False,5000.052197802198,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.22242569915259638,510.9807692307692,514.0,508.0,511.0,511.0,511.0,512.37,0.4285978436491801,364.0,34.012639538461535,295.137978,9.600208,30.502674499999998,48.992447399999996,51.17252575,55.740222440000004,26.08592863154334
