concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
1,1a,5001.0,99.0,674.279777,141.804756,1206.754798,674.279777,1100.2597938,1153.5072959,1196.1052975799998,532.475021,6.87759,6.865599,6.889581,6.87759,6.8871828,6.8883819,6.88934118,0.011991,1348.2835565,816.983659,1879.5834539999998,1348.2835565,1773.3234745,1826.45346425,1868.9574560499998,531.2998974999999,0.7395654269251419,73.21697726558905,145.4002113766392,145.14670776060257,145.65371499267582,145.4002113766392,145.6030142694685,145.62836463107215,145.64864492035508,0.25350361603662463,profile,genai_perf_config.yaml,False,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,0.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,2.0,6.18053,6.6668449999999995,5.694215,6.18053,6.569582,6.6182134999999995,6.6571187,0.486315
11,1a,5000.136363636364,98.95454545454545,745.6083332272727,132.305973,1389.8526669999999,781.5742445,1206.4204202,1362.9044975999998,1385.86480354,387.8296766644358,15.64663568181818,9.9653,22.803665,15.203821,20.230627,20.75131355,22.378198279999996,3.8559901244048778,2277.7583375,2188.295344,2367.615724,2277.6330545,2367.3101074,2367.40084225,2367.5715628899998,89.37832171077122,4.814786952031797,476.44505429878285,68.16857581338606,43.85260000969142,100.34820828274111,65.94355972223353,97.22204347747758,100.17147660200509,100.33123709097946,17.684522391429287,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.9,5001.0,5001.0,0.34317429251230674,100.0,98.0,99.0,99.0,99.0,99.78999999999999,0.36646626128629767,22.0,565.2072345,1267.6191219999998,9.817143,522.8597055,997.5826526,1065.43885205,1225.9111681599998,375.7139605603846
21,1a,5000.071428571428,99.0,749.2620679047619,64.352215,2511.552329,116.8323065,2152.1922818,2364.696154349999,2511.13992312,824.7725160943247,18.27164266666667,12.577212,36.87813,12.645453,30.520146799999996,32.8308516,36.055335439999986,7.598025893275034,2539.8830518095233,1330.834727,3749.7867159999996,2539.5865909999998,3749.056016,3749.3320707,3749.7054597399997,1208.610602466109,8.237113868918582,815.4742730229395,62.75486228984468,27.116342395886125,79.50887684806457,79.07980850028449,79.49478333325068,79.50195112303867,79.50695637723159,19.823053578619078,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.25753937681885636,99.0,99.0,99.0,99.0,99.0,99.0,0.0,42.0,568.2623280952381,2390.540431,11.35254,18.082522,1767.2286546999997,1993.924086,2309.7983917699994,743.7133689201212
31,1a,5000.064516129032,99.0,808.5414677903225,93.829824,2513.14603,149.51262549999998,2175.5443559,2390.2037355999996,2512.9317644499997,822.4712534899488,18.967269677419353,13.480696,37.985952,13.710730499999999,29.6629233,33.8924687,36.74240783,7.205979928304667,2667.1015850967738,1449.4149459999999,3857.534175,2669.591306,3857.3008016999997,3857.4155058499996,3857.52016513,1189.1353734807892,11.56187375256508,1144.625501503943,59.07030034050311,26.325521603354836,74.1801461882977,72.93557407577958,73.45342203925777,73.456129284438,73.73948941953175,17.1420124578469,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.24567010018915836,100.0,98.0,99.0,99.0,99.0,99.39,0.1796053020267749,62.0,531.5533676774194,2394.137345,7.974498,17.5096265,1579.0995048,1993.9278682999998,2272.72617922,704.7971202068998
41,1a,5000.0609756097565,99.01219512195122,672.9567220487804,42.261963,2545.1056519999997,150.875635,2171.686771300001,2390.5841552000006,2544.84105092,783.6572983059675,23.036315731707315,16.062302,41.789502,16.506405,38.40589310000001,40.652547799999994,40.874216579999995,8.880904598042509,2930.7115431707316,1703.260308,4138.720144,2937.7145969999997,4137.086295,4137.845677949999,4138.36368082,1205.3328329805586,13.885350483425936,1374.8190314016485,49.05897257670147,23.929454818580993,62.2575767782227,60.582543620855304,61.638024590702614,61.65352256754417,61.889175648450525,14.930672166662028,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2392855715896169,100.0,99.0,99.0,99.0,99.0,99.19,0.10975609756097561,82.0,686.5888199390245,2522.6869039999997,17.015079999999998,48.147138999999996,2190.323668800001,2411.0868918499996,2432.6814697999994,868.7842979921348
51,1a,5000.068627450981,99.0,969.0975706960784,32.824264,4163.893959,147.1378315,2909.4766408,3710.5624301499975,4147.145779239999,1202.3127144284579,31.537716166666666,19.420673999999998,61.524438999999994,19.950848999999998,57.415051399999996,59.33591945,59.34095136999999,14.853921619687624,4059.7034784999996,1997.547026,6082.080263,4060.005244,6080.553505999999,6080.8894991,6081.540309939999,2019.5501416601458,12.480317235098852,1235.5514062747864,38.34057255196733,16.25370367050401,51.49151878045016,50.12318022160385,51.47468460617906,51.480119325257,51.49094770695342,14.449131745367428,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.25281954820054164,100.0,98.0,99.0,99.0,99.0,99.0,0.14002800840280097,102.0,1160.7900795392156,3922.9020229999996,15.660039,66.7883525,3714.098618000001,3912.9732371999976,3922.49185706,1428.1034083287066
61,1a,5000.065573770492,99.0,2204.5506910655736,141.371364,5227.474251,1919.810321,4283.5216667,4571.180814549998,5155.364181899999,1419.4592486584224,46.4651722704918,20.177007,72.48904499999999,48.172604,62.1341427,66.28558069999997,70.46091082999999,13.684142644613692,6758.137575352459,6273.739116,7277.666136,6741.378137,7276.5331238,7276.87529405,7277.609751999999,482.8077867709357,8.97631819871381,888.6555016726671,24.00159412890541,13.79518794874453,49.56136457701581,20.761001325039526,37.189619011864636,44.10952804165601,49.51254948989876,8.919546775370314,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.24753555525477866,99.0,99.0,99.0,99.0,99.0,99.0,0.0,122.0,2599.971115844262,5153.873498999999,24.50519,2766.550189,4135.3341387,4542.560340499997,4951.34501522,1340.5431311520003
71,1a,5000.056338028169,98.99295774647888,1632.286948190141,40.768972,4519.811564,1198.8718959999999,3396.0733379999997,3907.0450852999984,4409.51944256,1204.8530808373052,50.00854121830985,23.508456,69.453227,52.7648915,64.2862517,66.33558939999999,67.55329166000001,12.4066424597747,6532.806619450705,6219.567000999999,6875.6619009999995,6523.7842405,6874.718324699999,6875.029098049999,6875.4251509999995,311.41292351458634,10.805544774839014,1069.672837323324,21.645407039309063,14.398179079569621,42.53788509121994,18.9519957607175,32.24012828423236,37.49179155753781,42.47588170936688,6.925580690658342,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2305733175175338,100.0,98.0,99.0,99.0,99.0,99.0,0.14517977554991765,142.0,2629.02065378169,4536.403839,30.751151999999998,2896.6209989999998,4030.9680682,4230.8097379,4350.146904900001,1215.8358318239464
81,1a,5000.055555555556,99.00617283950618,1311.6997619814815,41.531172,3906.8616749999997,1046.4759245,3268.4937853000006,3489.6457986999994,3905.99132357,1107.4103778397707,49.22839618518518,24.735142,64.228158,52.775375999999994,59.885169299999994,61.9937107,63.8813356,11.25924669843663,6136.285487228395,5914.555348999999,6338.672848,6154.837406,6336.501187899999,6336.96545275,6337.92265772,198.8113601470915,13.103687129971485,1297.3459128247694,21.765653565826725,15.56949523603028,40.428310458051946,18.95187671340416,32.63999787236313,37.11392796127111,40.39986883671907,6.545042287713714,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2290614236454256,100.0,99.0,99.0,99.0,99.0,99.0,0.07832455271882419,162.0,2428.3756245246914,3897.494835,28.013305,2775.997402,3473.2891532,3678.4993306999995,3863.5165054999998,1102.7550452608925
91,1a,5000.054945054945,98.99450549450549,2082.6032402857145,72.389625,7795.262223,1868.4026984999998,3932.7039828,4736.526003549997,7281.660184619999,1666.039166949024,51.50078661538461,8.937434,74.86251299999999,55.764833499999995,66.5171443,66.52750395,72.74174131,14.492506019222638,7129.153046895603,1757.9395029999998,14165.340081999999,7078.314746499999,7542.8405166,7545.277952399999,14164.49585035,1550.746548139691,11.358073669757022,1124.3868863077598,22.694493606650322,13.357820355295846,111.88893814488588,17.932448462215824,32.61541528590966,36.70519960302609,100.47848762726434,14.275440337520934,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2278729819047002,101.0,98.0,99.0,99.0,99.0,99.19,0.22230690466092207,182.0,2484.8167136263737,4714.17803,9.143571999999999,2842.2179695,3878.8506631999994,3879.74231235,4506.323992,1265.7923030894453
101,1a,5000.059405940594,98.9950495049505,2579.5312134851483,65.892588,8772.955232999999,2464.6831485,5325.258256,6201.7699896,7028.26254935,1883.887152607985,46.75874549009901,10.469313999999999,84.691248,48.2149795,61.660368999999996,72.06043169999997,82.63359917000001,14.237333413983935,7161.828280564357,3033.825442,13891.918748999999,6944.4508215,8507.2804624,13888.783011799998,13891.35349068,2569.9414637623154,11.854542364699002,1173.5410082519106,24.485944053709975,11.80759551447394,95.5172421039239,20.740442293460838,34.73241208738766,44.8729834896283,85.04685818484691,12.230861458636337,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.23638289873887766,100.0,98.0,99.0,99.0,99.0,99.0,0.15725128885414444,202.0,1997.076475430693,5514.836467,11.424831,2024.3697375,3255.0386445,4273.731310599997,5309.452252110002,1171.7502113993155
111,1a,5000.058558558559,99.00450450450451,3128.217029346847,166.548023,9552.035345999999,2669.4425735,6426.548367199999,7453.444668149999,9146.9033399,2119.377864075391,48.14474761711711,13.065593,114.43109,47.1075685,65.29016730000001,78.0428441,105.2416792499998,16.02573825559807,7846.567950486486,4054.1306539999996,14692.998040999999,7643.755757999999,12781.845778399998,14690.419221499998,14692.792549009999,2767.4183296034726,11.761477685202053,1164.439270464216,23.496296987116143,8.738883812082888,76.53690115710783,21.22801137587461,32.320844869511504,40.72857113321378,69.34471939982814,9.954667400445732,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.23479662216075947,100.0,99.0,99.0,99.0,99.0,99.0,0.06696427363656986,222.0,1995.9036362882882,5503.029992,14.340421,1956.4250949999998,3242.9287154,4467.889623399998,5296.81524547,1155.3342803025155
121,1a,5000.053719008264,98.97933884297521,2500.5596453760327,89.401607,8511.348764999999,2518.686373,4742.621515,6744.011823449998,7897.177152,1842.3681024528498,49.032817371900826,12.615546,115.11479,50.961464,60.9407618,67.09659499999998,79.18326991,13.31946922213866,7304.984833954545,3363.035888,14159.948771,7078.887729499999,8075.9897653,14118.430966,14159.62236526,2214.2650228363887,13.69923149416584,1355.9408759493983,22.56736750383336,8.686981056039802,79.26727864176469,19.622670416510058,29.482951131456872,37.857618031975406,68.2894069206464,9.494986209417696,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22546236141659073,100.0,97.0,99.0,99.0,99.0,99.0,0.19173731831603608,242.0,1770.488388231405,4586.108584,14.248901,1852.9029699999999,2841.7879136999995,3085.7081687999994,4226.099165930001,974.6537412304016
131,1a,5000.053435114503,98.99236641221374,3054.695848931298,73.157477,9512.211943999999,2664.9359535,5538.702913,7738.216044999998,9310.027425190001,2112.5108123099412,52.7574796221374,12.753452999999999,115.071801,53.331311,67.2340374,77.64630789999997,88.21692929999999,15.407253465960789,8224.455729110687,3627.748608,15772.584147,7887.147696499999,11621.511649000015,15726.7396926,15771.12189567,2739.236998628282,13.400351042122178,1326.532460414049,21.638215769915327,8.690226374400797,78.4101372389109,18.75071120505597,30.211518488095106,40.46198578755456,73.68576529234109,11.011077872719444,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22489953988788142,99.0,98.0,99.0,99.0,99.0,99.0,0.0870362919923006,262.0,2127.274654530534,5387.425772,14.005065,2162.2775205,3412.8745081999996,4005.238149549999,5094.967594849997,1165.1848520124324
141,1a,5000.053191489362,98.81560283687944,2786.969667617021,79.380498,8705.451319,2474.702528,6412.8866245,7679.078292649997,8640.761896169999,2199.1907179607856,55.587523957446805,16.064007,114.039706,56.3035575,78.77355429999999,81.72394115,87.97522162,15.938883434983602,8224.519973393617,3880.9942859999996,15248.561276999999,7916.3098045,14191.0805322,15203.26970795,15247.77309315,3027.362363491379,14.650751937073117,1447.7228846754592,20.43421807382793,8.768875640559788,62.250968889642536,17.76086706711741,28.19815266763888,43.32992749294337,61.20582339491008,9.94553837999165,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22441513946520197,101.0,97.0,99.0,99.0,99.0,99.0,0.5967148466553371,282.0,1287.0990660106381,4345.993893,0.007572,1244.1956195,2468.271874200001,3313.9163271999996,3968.9051660299997,995.9095927821995
151,1a,5000.056291390729,98.99337748344371,3403.8607294735098,80.254513,9271.801629,2860.792942,8037.2976583,8653.70223655,9068.34861206,2528.0252858451236,51.60422358278145,19.80953,117.555866,51.879966499999995,68.58554210000007,75.05091979999999,81.39778203000002,14.852445888394577,8460.71329879139,5419.474311999999,14780.571458999999,8045.0639395,14731.7565084,14736.648697749999,14779.820114959999,3051.621365396643,14.82620034826893,1467.6956477213507,21.29230769797739,8.506593792605807,50.48075345553378,19.275263088486348,30.73355309479912,35.416964785454724,45.55590813756857,7.367369947702763,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.23048355702377293,99.0,98.0,99.0,99.0,99.0,99.0,0.0811089318802377,302.0,1972.5963055331124,4485.253333,22.851264,2060.834342,3263.1453671,3859.9646193,4272.731109599999,1144.9284098660328
161,1a,5000.055900621118,99.00931677018633,3877.384308590062,188.85263799999998,10933.467214,3481.5262264999997,9088.8210685,10106.093676,10675.070917550005,2790.770455288078,58.54453731366459,17.202856,95.68441999999999,58.73867,81.8098478,87.3373402,95.67466904999999,18.37948279144235,9615.383545419254,4833.850453,17899.626142,8949.4646455,17849.706118,17851.96815265,17897.42753111,3439.083961207672,14.0633595430769,1392.4036198535237,19.454535155441327,10.451022224934842,58.12988261949063,17.024559932408746,28.777603199428434,35.14461077780357,55.90433567835701,8.499712336450871,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.22972971439635934,101.0,98.0,99.0,99.0,99.0,99.0,0.14714730112400168,322.0,2364.672269304348,5414.125914,20.264359,2201.910923,4514.684917,4720.70202465,5408.29146012,1514.220555793446
171,1a,5000.0526315789475,98.99122807017544,3773.069687994152,83.122863,10771.670219,3271.796278,7969.058525699999,8765.775617849999,10566.049824959999,2565.5650977304417,56.162451684210524,19.320007999999998,98.770096,53.8327045,81.84517570000007,92.52874704999999,96.74283494,16.65749395819008,9276.403276406432,5532.698622,16865.393376,8425.453019,16820.212105799998,16826.1933248,16863.395067129997,3496.808901070213,15.161149543513485,1500.8208122679798,19.59607145152037,10.124521899826846,51.75981293589527,18.576068518332733,27.08257806313375,31.727243728431386,43.33537337251798,6.788189861790689,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22329687826943603,101.0,98.0,99.0,99.0,99.0,99.0,0.17912787593563279,342.0,2093.947515736842,5657.013351,22.65495,1996.7692625,3995.9286503000067,5041.04088055,5456.01528979,1347.817190268893
181,1a,5000.052486187846,99.0,4523.851439127071,74.24235,10654.252317,3491.1694315,9830.5447371,10240.190306949999,10447.64852838,3267.169028579228,57.176544624309386,30.574078999999998,84.862673,56.032438,72.3183912,78.59577575,82.78192333,12.907222569402254,10127.082402571823,7253.106903,16558.421314,8232.291863999999,16550.9350308,16553.68666005,16555.82006123,3768.316023546745,15.096888254986695,1494.5919372436829,18.494117331001608,11.783743837529133,32.70744476064185,17.84680509535771,25.66094507271682,26.609015327359053,32.485211062869894,4.604666214251679,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2230053540405955,100.0,98.0,99.0,99.0,99.0,99.0,0.07432941462471664,362.0,2270.0156972486184,4788.5500409999995,35.536437,2314.9426359999998,3847.303040200002,4371.531835749999,4620.594683389998,1286.4024401110369
191,1a,5000.052356020942,99.00785340314137,4982.864780397905,158.40248699999998,11345.746888,4103.1634235,10118.2175775,10326.9326936,11138.15899342,3348.5800225089,58.67761845549738,33.492557,90.009258,57.531702499999994,80.60186409999999,84.78595179999999,88.15003483,14.102439561353007,10733.754999696333,6925.8637229999995,18022.036813,8970.412593,18014.173993099997,18017.315845549998,18019.07583892,4136.230183542433,15.201095671481951,1505.0278518092116,18.093106242639948,11.109968265708845,29.85737995459708,17.38172097412095,25.197305651094894,27.39966785694337,29.130401967847778,4.545693331531024,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22274395168777641,100.0,98.0,99.0,99.0,99.0,99.19,0.1141373264743018,382.0,2303.114795429319,5478.784889,38.59156,2187.606937,4471.1282582,4880.286573799999,5272.13890251,1396.8071263208644
