concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
1,1a_router,5000.5,99.0,85.126111,29.132437999999997,141.11978399999998,85.126111,129.9210494,135.52041669999997,139.99991053999997,55.993672999999994,6.8855325,6.877567,6.893498,6.8855325,6.8919049,6.89270145,6.89333869,0.0079655,759.9083254999999,703.134014,816.682637,759.9083254999999,805.3277747,811.00520585,815.5471507699999,56.774311499999996,1.3095039460637743,129.64089066031366,145.23224431722792,145.0642329917264,145.40025564272946,145.23224431722792,145.36665337762915,145.38345451017932,145.39689541621942,0.1680113255015243,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.5,5000.9,5000.95,5000.99,0.5,99.0,99.0,99.0,99.0,99.0,99.0,0.0,2.0,6.050847999999999,6.376703,5.7249929999999996,6.050847999999999,6.311532,6.344117499999999,6.3701859,0.325855
11,1a_router,5001.0,99.0,337.6982474090909,33.848040999999995,688.4775089999999,340.036049,617.2386344000003,631.79545735,676.5750433199998,193.08819066620933,12.3245775,9.559483,16.546027,12.2996995,14.6285903,14.62866345,16.143380979999996,2.2686241658339923,1545.5068455454543,1423.6455429999999,1667.167714,1545.656143,1667.1148312,1667.1438304,1667.16292936,121.5146743320194,7.086794895882996,701.5926946924166,83.94800467526478,60.43746936953505,104.60816761743285,81.34337873021332,100.99163901289724,100.99272414078078,103.84892534409585,15.341907916404791,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.95,5002.0,0.4264014327112209,99.0,99.0,99.0,99.0,99.0,99.0,0.0,22.0,260.5304755909091,653.527418,10.357880999999999,258.1739555,465.6855506,465.74783505,614.0942677399999,212.74697970166577
21,1a_router,5000.952380952381,99.02380952380952,167.08787954761902,46.673925,411.647609,74.66074549999999,274.3476601,403.9168475499994,411.26825321999996,117.07030496568866,12.594363523809523,11.797991,15.557181,11.844208499999999,13.2518334,15.108641749999991,15.476664379999999,1.01776113548718,1401.6975583095239,1230.7211009999999,1573.6520429999998,1401.2808055,1572.9828933,1573.5416894999998,1573.62086332,170.4860229250193,14.882397171494116,1473.7116627677149,79.87563941806945,64.27899758960187,84.76019349396012,84.42945015403654,84.74127645212072,84.74640119687913,84.755442956674,5.90229449061382,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.4856209060564557,100.0,99.0,99.0,99.0,99.0,99.59,0.1524553389864964,42.0,87.51917861904761,376.524077,9.927356999999999,13.861122,150.5614215,347.1920149499991,368.78552666999997,100.01545940182355
31,1a_router,5000.967741935484,98.98387096774194,280.7873069193548,37.575752,757.157973,125.329246,679.4753053999999,755.0271326,756.95689748,241.12332662422517,14.10749858064516,11.978430999999999,20.349473,12.740772999999999,18.047007899999997,19.988622999999993,20.19449396,2.783321651602785,1663.1101752096774,1263.9284989999999,2032.0617129999998,1664.4644604999999,2031.3541429,2031.70521545,2031.9853495399998,367.35884209062897,18.496819715888538,1830.886816071096,73.29658209648652,49.14132174331984,83.48338776589355,78.52243381790746,83.472883299735,83.47607359321754,83.48111337897255,12.302289668431586,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.4387571131850144,99.0,98.0,99.0,99.0,99.0,99.0,0.1259717689662364,62.0,165.55954785483868,731.809414,2.336203,12.950026999999999,506.5006656,696.8675898999991,716.73865152,240.45887299471124
41,1a_router,5000.975609756098,99.01219512195122,184.07248025609755,39.628634,315.589895,128.0514925,314.3574892,315.18046719999995,315.57411376999994,102.30188488065693,15.04062042682927,14.498904999999999,17.449392,14.814637,16.9176281,16.93897085,17.038365599999995,0.7361368101947877,1658.2560156829268,1547.577755,1751.444781,1658.4745825,1750.2171652999998,1750.5328404499999,1750.85481588,91.09241178498098,24.41444556761712,2417.3278483351633,66.63090464756152,57.30858702698638,68.97072572032164,67.50081018039364,68.28538025533251,68.30055063854122,68.43456302925934,2.9491435869878577,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.4678860022744117,100.0,98.0,99.0,99.0,99.0,100.0,0.1908838517377869,82.0,36.51090518292683,281.969503,3.14473,6.980358,231.6724743,232.31016234999998,241.90199358999988,75.46775764748094
51,1a_router,5001.0,98.99019607843137,197.52279362745097,37.096286,299.393058,134.1614105,297.8192979,298.2691876,299.23699722000003,93.80570285713128,17.50112245098039,17.324994,20.009172,17.400892499999998,17.4845822,17.8609892,19.658186469999997,0.4682650389524816,1912.4611814999998,1785.454375,1998.2657279999999,1920.6789919999999,1997.2171222999998,1997.76169045,1998.25583792,85.03758138109215,26.30313139029339,2603.752133801886,57.17585028095376,49.97708051087771,57.720077709695026,57.46831671907856,57.70341915491359,57.711677951109316,57.71731077584413,1.3705743398825507,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.9,5002.0,5002.0,0.464420364012824,99.0,98.0,99.0,99.0,99.0,99.0,0.09852819236393033,102.0,30.147639990196076,283.583718,12.341185,20.825165,22.0494824,58.65316454999997,248.83167050999998,46.83174018999394
61,1a_router,5001.008196721312,98.98360655737704,110.38532396721311,41.255337,144.194298,112.93233699999999,143.3677099,143.9599473,144.08193569999997,22.02322664837551,17.982612475409834,17.678214,18.883525,18.1467185,18.253148499999998,18.422161149999997,18.624298359999997,0.2957095646611476,1872.3800007868851,1845.7334549999998,1932.5238479999998,1856.2762169999999,1931.6799565999997,1932.0788214499999,1932.4890893699999,34.132540338872566,31.949659144943567,3162.4924904453974,55.62422064718981,52.95621447796425,56.56680024350876,55.10638195773228,56.54143110964743,56.55253288217483,56.56279901314124,0.9091289492111542,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.9,5002.0,5002.0,0.45260451450093514,99.0,98.0,99.0,99.0,99.0,99.0,0.12698306053139072,122.0,12.404065155737705,83.01314099999999,0.39031099999999996,10.9146585,21.079951400000002,40.24929925,73.38498624999984,14.884809259540594
71,1a_router,5000.992957746479,99.0,118.66726654929576,38.420417,150.98537199999998,122.665534,150.3334973,150.62893459999998,150.78025696,17.067594904988727,20.50680554225352,19.943703,21.267101999999998,20.452557,20.706153899999997,21.144709649999996,21.15027564,0.23415980991599752,2128.3265952887323,2105.4847,2179.986288,2119.0040365,2179.0106846,2179.63497125,2179.9118866,26.056217391961436,32.68842566242122,3236.1541405797,48.77053627893381,47.020981043867664,50.14113978733037,48.893642056378376,49.12897327469329,49.13547217685298,49.15601179071682,0.5462781629127542,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.9,5002.0,5002.0,0.4671833321301967,101.0,98.0,99.0,99.0,99.0,99.59,0.23735633163877068,142.0,14.396613873239437,92.15951799999999,0.35284899999999997,6.3782665,31.9324028,74.55205084999999,75.57956812,21.70545124450798
81,1a_router,5000.993827160494,99.01234567901234,112.48039361728395,55.336299,137.305172,107.3558525,136.48449159999998,136.87365594999997,137.10488976,21.496987678304485,21.71127885185185,21.33427,22.290976999999998,21.6218865,21.8856938,22.174964699999997,22.19477409,0.1864946045921384,2240.4516910925927,2212.07362,2281.621906,2242.741485,2280.4760044,2281.07262615,2281.54101009,22.570371871399807,35.374334561246286,3502.495841743151,46.062376180068675,44.86120101420409,46.87294198489098,46.24943341599895,46.40770572870696,46.424259825187306,46.6013099931693,0.39195766220899114,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.45129325250454916,100.0,98.0,99.0,99.0,99.0,100.0,0.2218790216742152,162.0,19.241878246913583,87.85265199999999,4.199871,7.384722,32.1476876,68.8084248,69.85202549999998,19.233318368741262
91,1a_router,5000.994505494506,99.0,130.76997753846152,49.113409,163.085948,124.7126155,160.07171309999998,161.0857241,162.27541337,25.005737410766443,24.393925648351647,23.87578,25.407083999999998,24.245085,24.8985893,24.907174649999998,24.98085792,0.2897073202388304,2521.368696296703,2487.663669,2557.972825,2528.5405215,2556.062415,2556.44277665,2557.34893536,24.490352128789787,35.36081305945921,3500.7204928864617,40.99952290338496,39.35910157970116,41.88344841508843,41.2454730516295,41.36442064009573,41.45023942293575,41.532847929290405,0.48090464122178245,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.9,5002.0,5002.0,0.4628774402529088,100.0,98.0,99.0,99.0,99.0,99.19,0.14824986333222023,182.0,35.1667093076923,130.422755,0.475165,24.373147499999998,97.092581,98.57264785,105.45479907999994,34.414137891618516
101,1a_router,5001.004950495049,98.99009900990099,140.32764592574256,64.909733,174.16789599999998,141.970275,169.67006959999998,170.71024334999998,173.22472496999998,28.807348599692116,26.81180123762376,26.302363,27.810108999999997,26.5930195,27.3362381,27.349124999999997,27.63816716,0.3355288994812252,2767.6116511633663,2746.026738,2804.47999,2770.076372,2802.1389453,2803.0015461,2803.94782825,17.87311868762846,35.81083586857357,3544.9181882574117,37.30278459018172,35.95814744918835,38.0193977248356,37.6038531533336,37.662431901623286,37.66761523766634,37.67472190596826,0.46151988554194917,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5002.0,5002.0,5002.0,0.4613532049606654,100.0,98.0,99.0,99.0,99.0,99.0,0.14037076117582004,202.0,34.04895006435644,136.587822,2.14474,18.773829499999998,90.81907509999999,91.92460764999998,110.51694474,35.07637780392268
