concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
1,1p1d,100.0,4.0,803.165299,38.061096,1568.2695019999999,803.165299,1415.2486614,1491.7590816999998,1552.96741794,765.104203,56.151201,7.7488019999999995,104.55359999999999,56.151201,94.8731202,99.71336009999999,103.58555202,48.402398999999996,971.6189025,61.307502,1881.9303029999999,971.6189025,1699.8680229,1790.8991629499997,1863.72407499,910.3114005,1.0256121160022729,4.1024484640090915,69.30833961605299,9.564472194166438,129.05220703793955,69.30833961605299,117.10343355356224,123.0778202957509,127.85732968950182,59.743867421886556,profile,genai_perf_config.yaml,False,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,155.0108745,299.906026,10.115723,155.0108745,270.92699569999996,285.41651084999995,297.00812296999993,144.8951515
11,1p1d,100.0,4.0,153.8890984090909,29.061473,283.196668,95.122463,283.1467044,283.1700073,283.19129577999996,99.056112229479,17.034819590909088,7.174854,62.897982,10.189999,57.63695800000011,62.83119265,62.88419843999999,18.23814163694805,204.99355736363637,50.586034,316.372332,203.34962299999998,316.3008104,316.31178565,316.3596942,107.62617707375449,50.84375183051951,203.37500732207803,91.73868293025303,15.898761267094386,139.37565837576625,98.77896367081019,122.67354359728569,124.47884202054315,136.24888813133904,32.76182184222053,profile,genai_perf_config.yaml,False,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,22.0,35.95345759090909,170.086829,8.331382999999999,15.634373499999999,154.7854878000003,170.05353355,170.07985112,53.34306175513172
21,1p1d,100.0,4.0,76.70870588095238,41.304027999999995,128.268274,73.61953849999999,105.09950659999998,105.42633995,118.96524607999991,20.99113863953441,9.757477476190475,7.222192,11.090582999999999,10.3886525,10.963916699999999,11.01778955,11.0713868,1.2433100735539677,105.98113826190476,68.94254099999999,159.86660799999999,102.947329,134.2623793,134.5956072,149.5844303799999,22.525449739024786,171.42186358609715,685.6874543443886,104.41310325274199,90.16658547165646,138.4621178722471,96.25901757274427,130.43981706213467,130.85576697593817,138.43776102247332,15.182447515039886,profile,genai_perf_config.yaml,False,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,42.0,14.462883047619048,18.199049,8.127046,15.3940375,17.8592369,18.0323474,18.13434813,3.094623325803319
31,1p1d,100.0,4.0,106.63495633870967,37.109057,149.133105,96.6967445,148.6207803,148.69923505,148.8827671,35.50857126782743,9.012021112903225,7.703202999999999,12.105407,8.694685999999999,9.6446496,9.698190499999999,12.085782689999998,0.9476263956371356,133.6710197096774,65.40988399999999,174.784621,125.5102625,174.37508319999998,174.53910855,174.76926303,34.38408773699718,201.06313494643518,804.2525397857407,112.08188043787655,82.60771405703252,129.81612973200887,115.01280629182608,127.84321460973658,128.92614072242844,129.68158975532833,10.791273903160024,profile,genai_perf_config.yaml,False,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,62.0,13.670214161290323,28.324592,9.387848,13.445259499999999,15.183794799999998,15.393999249999998,28.29125123,3.780061820157106
41,1p1d,100.0,4.0,110.16872084146341,53.979074999999995,172.172339,110.11815,152.442604,152.58800555,171.30451715,30.844692478435167,8.734172243902439,7.2189939999999995,11.537474999999999,8.612236,9.654054599999998,11.4834043,11.53387617,1.1523750289234114,136.37123742682928,75.638364,206.57288599999998,133.1270745,178.36017069999997,178.55023,205.86588802999998,32.436566862656726,247.60805859510637,990.4322343804255,116.30262727541131,86.67407730027584,138.52345631538134,116.11395489381582,131.7229954009378,132.73848148883255,138.51150510926774,13.866834436860126,profile,genai_perf_config.yaml,False,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,82.0,12.071154804878049,19.252899,8.184664999999999,11.7135515,15.377968300000001,18.58704135,19.040397929999997,3.089123288493799
51,1p1d,100.0,4.0,110.00063900980392,55.234189,183.419374,112.6059305,136.7835577,180.4441637499995,183.18944416999997,33.359635250320146,8.461545823529411,7.516954999999999,10.992818999999999,8.5360015,9.0426279,10.875861449999999,10.96214983,0.9194793603720235,135.38527653921568,79.6828,210.394769,135.6395095,161.77058359999998,207.45678434999954,210.02035552,33.03532452151259,287.51062633637474,1150.042505345499,119.43116995819896,90.96847678470827,133.03259098930351,117.15243223670387,131.2645913970235,131.709788807904,132.3933178851264,11.590331162415582,profile,genai_perf_config.yaml,False,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,102.0,10.3577975,17.537741,8.078645999999999,9.2484925,12.2823476,17.06846315,17.48900519,2.481748114828967
61,1p1d,100.0,4.0,93.54859467213114,43.688801,171.62806799999998,89.29171199999999,139.541292,139.7153252,171.45008997,30.334720043359027,9.490149598360656,7.7111979999999996,11.67372,9.530092,11.423102199999999,11.4378054,11.62990391,1.3224077450217224,122.01904340983606,72.767078,205.83899,119.50936899999999,162.9931897,163.354613,205.66216873,29.53367654695206,339.9492860868546,1359.7971443474185,107.4531251694032,85.66249661633138,129.6815358651146,104.93078139861755,127.06851023955888,127.84621092206856,129.10961999380453,15.007231595845413,profile,genai_perf_config.yaml,False,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,122.0,13.636130237704917,20.523979,8.690327,14.439254499999999,17.737789499999998,20.1907888,20.36872159,3.6285841339369527
71,1p1d,100.0,4.0,97.29114676760562,50.579234,200.04610699999998,83.6881935,174.9011711,175.32359830000001,199.93077741999997,44.005512043018896,10.425109795774647,7.853872999999999,13.941732,10.260263,13.70251,13.815322949999999,13.9336948,1.5933639048270167,128.5664762253521,81.82128399999999,231.188008,117.609821,198.77611169999997,198.9913284,231.03366669,41.84838481166383,347.16238306058216,1388.6495322423286,98.13499245669735,71.72709961717813,127.32571560553626,97.46341372983758,125.35932820620245,126.05419241211673,126.73042844401316,14.793111770280023,profile,genai_perf_config.yaml,False,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,142.0,15.190938985915492,21.737178,9.12568,14.839138499999999,20.8603121,21.409048499999997,21.63972034,3.1806728003739497
81,1p1d,100.0,4.0,115.49051296296297,44.209945999999995,203.086595,108.655795,202.42633419999999,202.7680124,202.88911910999997,42.739671544480366,9.815009012345678,7.743119,14.516041999999999,9.709135,11.3758539,14.13403459999997,14.464366709999998,1.501489763806937,144.93553998765432,73.875759,226.80331099999998,144.4218165,226.04159149999998,226.37243755,226.59067144,40.60012574438493,375.4292224943536,1501.7168899774144,104.02184105139031,68.88930191852573,129.1469238687924,102.99579581324774,126.70832136751525,127.47869616978085,128.94625322980986,14.342696733474702,profile,genai_perf_config.yaml,False,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,162.0,13.264030499999999,18.933916999999997,4.141933,15.1190185,17.723738,18.3789008,18.70883684,3.574355849718672
91,1p1d,100.0,4.0,147.5315937142857,42.004132,462.499259,92.22184399999999,461.8714872,462.0843941,462.21298376999994,133.35205850694155,9.584381906593405,7.572469,11.694298,10.160537999999999,10.797577800000001,10.840513999999999,11.674043659999999,1.303158618748784,176.28473943406593,74.9767,485.248049,119.07053599999999,484.8087207,485.06661955,485.21723295999993,130.93345411535608,221.9980315873656,887.9921263494624,106.46537871401972,85.51175966270057,132.0573250283362,98.41998604259595,130.605117720575,131.2296156186193,131.87602292273476,15.710587459307371,profile,genai_perf_config.yaml,False,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,182.0,13.147291296703296,21.34464,8.425236,14.457106,15.767589300000001,16.240280549999998,21.20923967,2.9885625836524996
