concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
1,3p1d,5001.0,99.0,853.942113,173.107054,1534.7771719999998,853.942113,1398.6101601999999,1466.6936660999997,1521.1604708199998,680.835059,8.361599499999999,6.8783069999999995,9.844892,8.361599499999999,9.5482335,9.69656275,9.815226149999999,1.4832925,1673.3788525,847.181115,2499.5765899999997,1673.3788525,2334.3370425,2416.95681625,2483.05263525,826.1977375,0.5962992267492163,59.03362344817241,123.48006517492274,101.57551753741942,145.38461281242607,123.48006517492274,141.0037032849254,143.19415804867575,144.946521859676,21.904547637503327,profile,genai_perf_config.yaml,False,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,0.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,2.0,152.37679799999998,296.65624299999996,8.097353,152.37679799999998,267.80035399999997,282.2282985,293.7706541,144.27944499999998
11,3p1d,5000.136363636364,99.0,959.6756571818181,188.31371299999998,1825.874189,539.223474,1783.5296447,1823.8889492,1825.8689583199998,644.1915745423782,9.824024954545454,8.792525999999999,11.677677,9.749239,10.796660000000001,11.38699115,11.62231428,0.7318698006783395,1922.4301209999999,1121.5068039999999,2800.3105649999998,1463.454364,2766.3637174,2798.6391333,2800.28790558,686.7396942494299,5.1687917800869725,511.7103862286103,102.32757089414568,85.63346973888729,113.73295910640469,102.61227534761659,112.00569908910548,113.64839032194651,113.73147333402312,7.23272453065931,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.9,5001.0,5001.0,0.34317429251230674,99.0,99.0,99.0,99.0,99.0,99.0,0.0,22.0,37.801956499999996,172.543402,8.704011,19.0262165,148.6677024000003,162.91346155,170.52225637,51.13465806066941
21,3p1d,5000.071428571428,99.0,738.5496728095238,192.95294199999998,1050.515197,743.1158879999999,1046.5552888,1050.2421242,1050.4855015199998,223.51176855948088,11.31836369047619,9.872243,12.064658999999999,11.262158999999999,12.0446794,12.046780449999998,12.06426868,0.6209604563033779,1847.7493110952382,1160.432732,2230.828745,1831.6720225,2226.7245427,2230.3288617,2230.78497586,277.1012287652339,10.3512353323211,1024.7722978997888,88.62714739075486,82.88671896984407,101.29410307262494,88.79293439531762,93.50308054324884,99.27219213582588,100.53758357626407,5.025639749812053,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.25753937681885636,99.0,99.0,99.0,99.0,99.0,99.0,0.0,42.0,21.147202166666666,26.889585,9.275319999999999,21.733199499999998,26.459930699999997,26.6331548,26.86854626,3.8319220647562005
31,3p1d,5000.064516129032,99.01612903225806,1045.5345302741935,193.26193899999998,1562.931151,985.91739,1560.6280504000001,1562.76901435,1562.91359825,390.0496939597278,12.493474693548386,9.403158,13.671508999999999,12.6305005,13.4115957,13.5248277,13.59106769,0.9174015720377887,2270.084182241935,1233.674749,2874.584547,2176.6235775,2873.8479196,2874.27344625,2874.49176051,464.86997979202584,12.246069454143857,1212.5583932095024,80.51902313014743,73.14481525045991,106.34725057262678,79.17350558689179,90.60164851618606,94.14750746820744,99.006358615284,6.537121936860642,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.24567010018915836,100.0,98.0,99.0,99.0,99.0,100.0,0.2193785565925072,62.0,20.754733645161288,31.96396,9.609166,20.004853999999998,27.393931600000002,27.545710699999997,31.80034092,5.188750873913561
41,3p1d,5000.0609756097565,99.01219512195122,1245.7196010609755,162.481204,2127.033707,1235.123551,2058.4318984,2092.48974915,2126.8061455999996,648.4790532555293,13.394769646341462,7.933335,16.182689,12.917256499999999,16.180020199999998,16.181051699999998,16.18225808,2.3340773922228695,2558.5456047073167,1243.738746,3703.105321,2373.87749,3642.9309342,3678.10109775,3702.94358182,828.1921001198,13.356219003937516,1322.4285621093743,77.20953090556519,61.79442736618123,126.0503936868921,77.43396445140952,88.87762477064764,94.28958577243606,126.04425513828407,15.106809425101657,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2392855715896169,100.0,99.0,99.0,99.0,99.0,99.19,0.10975609756097562,82.0,24.76467584146341,34.612244,9.432761,22.604566,34.1711082,34.30193435,34.49056499,6.140308600677499
51,3p1d,5000.068627450981,99.01960784313725,1452.4617969803921,91.152549,2346.493121,1402.4275475,2334.5343399999997,2345.8032763,2346.45228212,714.0086364259355,14.937352421568626,7.269653,18.36556,14.197624,18.3426305,18.34709005,18.364720629999997,2.9869046752567248,2916.544064490196,1208.2232629999999,4144.038129,2644.769205,4134.0556381,4143.39090535,4144.00971286,939.7186306768342,14.942622719576462,1479.6126418404144,70.03850444890021,54.449741799324386,137.55814754844556,70.85609963559983,87.18089666285853,90.99309794571957,123.71677729234536,16.03227504715609,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.25281954820054164,101.0,99.0,99.0,99.0,99.0,99.0,0.19705638472786058,102.0,24.70230454901961,40.637923,9.249742999999999,24.682197,35.919187300000004,38.33239069999999,40.32774935,6.70210641690969
61,3p1d,5000.065573770492,99.01639344262296,1927.1405250491803,102.596128,3530.986525,1415.723871,3244.0925877,3526.9125484999995,3530.6544072399997,994.3476171309424,15.29184681147541,7.835522999999999,18.632573,15.125437999999999,18.583025699999997,18.62678025,18.63059442,2.9905394242810934,3426.0513787950817,1475.5708789999999,5278.803445,3046.2718035,5064.4535127,5275.92736675,5278.708434949999,1207.6709158050396,15.26738050428828,1511.7209548508395,68.4914599795498,53.669452952096314,127.62389951506746,66.18695334071201,97.2845531489755,97.81070686099422,111.82757279217549,16.18097019620952,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.24753555525477866,101.0,98.0,99.0,99.0,99.0,99.78999999999999,0.2211596321841319,122.0,25.074977040983605,43.371083999999996,9.579556,25.2422675,35.1637962,35.771007899999994,42.149119909999996,7.1836694256130995
71,3p1d,5000.056338028169,98.64084507042253,2173.974346852113,411.87669,3331.1924919999997,2213.4435115,3322.8180431,3330.5982508499997,3331.08707105,796.3592908562765,17.065188816901408,7.394308,20.030487,17.8773625,19.8187152,19.8408948,19.907716949999998,2.962787156902324,3839.315498929577,1702.084243,5235.729149,4046.7704904999996,5230.848579400001,5235.037212699999,5235.600762399999,1033.332723363082,16.11409109306612,1589.5075629618107,61.033450746746574,49.923898505313424,135.23915963468116,56.28779881199946,81.11338175146098,84.577897806561,132.30155662975466,14.81755762631316,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2305733175175338,99.0,94.0,99.0,99.0,99.0,99.0,1.0504294849048124,142.0,28.514326669014086,49.826691,9.982868,27.109267,48.501040399999994,49.3489143,49.65292822,10.123447017699283
81,3p1d,5000.055555555556,99.01851851851852,2489.139038839506,304.957931,3446.3156639999997,2560.42904,3444.4973545999997,3445.2479897499998,3446.23444635,750.4740221116344,18.082623172839508,7.332282999999999,22.011176,18.247417,21.8823297,21.957234649999997,22.010484769999998,3.66624184454566,4261.530523308642,1681.9474149999999,5528.073001,4343.434400499999,5525.9026804,5526.952011699999,5527.70011914,1058.4317748729402,16.594250819185664,1643.1381320404769,58.66587255523988,45.431466269680456,136.38317015314328,54.802276956012825,86.83692773494931,93.18019320913139,127.33704265207089,17.35201648002283,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2290614236454256,100.0,99.0,99.0,99.0,99.0,100.0,0.13481684980149106,162.0,26.569849271604934,51.063987999999995,10.159013,26.400651999999997,39.714144,40.35705095,46.57353810999993,9.224502904086773
91,3p1d,5000.054945054945,99.0,3246.2301778131864,647.070569,6067.996203,3192.504093,3574.5825824999997,5309.862901199999,6067.56930804,776.2651661987687,20.142836126373627,7.079,23.116446999999997,21.3835795,23.098310199999997,23.1082085,23.11233875,4.007139711946365,5220.228114736263,1605.176109,7420.968143,5454.5655545,5715.542339600001,6517.710098399998,7025.225892729999,786.2385479613326,15.797273013522313,1563.930028338709,53.32679538125308,43.25924308350674,141.2628902387343,46.76485528191566,64.03080753042366,102.26632719201562,127.77877503261706,19.0947968189727,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2278729819047002,99.0,99.0,99.0,99.0,99.0,99.0,0.0,182.0,28.19915929120879,54.849464999999995,8.507745,26.8328135,40.1442346,41.8417184,49.380220769999994,9.857836519480513
