concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
1,3p1d_newrouter,5000.5,99.0,1580.94848,1200.7944499999999,1961.10251,1580.94848,1885.071704,1923.0871069999998,1953.4994294,380.15403,8.827515,6.864364,10.790666,8.827515,10.3980358,10.5943509,10.75140298,1.9631509999999999,2446.0449369999997,1873.502078,3018.587796,2446.0449369999997,2904.0792241999998,2961.3335101,3007.13693882,572.542859,0.4082218020631529,40.413958404252135,119.17630302836125,92.67268581939241,145.67992023733007,119.17630302836125,140.3791967955363,143.02955851643318,145.14984789315068,26.503617208968826,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.5,5000.9,5000.95,5000.99,0.5,99.0,99.0,99.0,99.0,99.0,99.0,0.0,2.0,199.99465849999999,391.460463,8.528853999999999,199.99465849999999,353.16730210000003,372.31388254999996,387.6311469099999,191.4658045
11,3p1d_newrouter,5000.909090909091,99.04545454545455,628.4810929090909,169.354357,1722.28169,491.422756,1563.1395974000002,1574.39817795,1691.2262526499999,469.64922309044147,9.247259863636362,7.8883149999999995,10.221195999999999,9.3684615,9.805371599999999,10.1020279,10.19944735,0.6698422366405183,1535.1724527272727,948.223882,2681.4910569999997,1423.9750275,2477.4458264,2492.5763315500003,2641.82067268,484.48409064810744,6.043533629180659,598.5845353629388,108.7421257029252,97.83590883102134,126.76978543579966,106.74111312654705,122.75576789091947,126.59384791368917,126.7679496595121,8.334648771417806,profile,genai_perf_config.yaml,False,5001.0,5000.0,5001.0,5001.0,5001.0,5001.0,0.28747978728803447,100.0,99.0,99.0,99.0,99.0,99.78999999999999,0.20829889522526548,22.0,29.724236090909088,141.90532299999998,15.055829,19.180678,21.7639878,135.80014949999992,141.88353256,35.50552533932383
21,3p1d_newrouter,5000.928571428572,99.02380952380952,667.5596762142857,108.052736,1101.748502,670.5109914999999,1093.6484101999997,1101.5388528499998,1101.7324021199997,295.6440726531822,11.171130761904761,9.962396,12.272926,10.836452,12.145215699999998,12.148168599999998,12.222365209999998,0.7071233361364571,1762.5439039999999,1143.014722,2290.504842,1713.823798,2282.8555189,2290.3342753499996,2290.4906395999997,352.7668026643828,10.654943722799425,1055.0931176934002,89.87031848934785,81.48016210641211,100.37745939832145,92.28139275841471,96.79814197390057,96.92782461956504,98.96385238687446,5.596218380603658,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5001.59,0.3375582590180434,100.0,98.0,99.0,99.0,99.0,100.0,0.26619856874997494,42.0,19.66342152380952,26.991659,10.660684999999999,20.476126999999998,25.9311537,26.181140499999998,26.890485349999995,4.787075356632571
31,3p1d_newrouter,5000.935483870968,99.01612903225806,1005.5408296935484,94.58921199999999,1574.2968349999999,984.5394954999999,1573.7850059,1573.96949215,1574.21695916,442.2729991337469,12.66165201612903,8.758999,13.642484999999999,12.7770765,13.575567999999999,13.576988499999999,13.604413679999999,0.8891923953863342,2246.565990354839,1212.98875,2904.6409169999997,2181.1914189999998,2904.3158636999997,2904.4787146,2904.60778912,511.2452759456718,12.39044545739609,1226.853946176687,79.42653120666421,73.3004287708581,114.16829708508929,78.26516508805193,87.4399253833793,87.66195929254911,98.63302537146043,6.468223281187757,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.3963937331433712,100.0,99.0,99.0,99.0,99.0,99.39,0.1259717689662364,62.0,22.776365935483867,28.591254,9.250466,24.4638715,26.8351859,27.099863499999998,28.394067839999998,3.9943661904808674
41,3p1d_newrouter,5000.914634146341,99.01219512195122,1077.7900224756097,130.829991,2188.4565039999998,865.7783754999999,2119.1164558,2141.62933545,2188.4558365599996,656.4939899858645,13.622531475609756,7.6044599999999996,15.287408,13.577363499999999,15.178743899999999,15.284819849999998,15.28632746,1.5045536261194388,2412.962018195122,1153.3530839999999,3675.803011,2111.059068,3617.1399896,3629.68823155,3675.79710367,739.8111197935733,14.671403302742863,1452.647846524016,74.53768795819133,65.41331270807974,131.5017765890017,73.65200194504716,83.64156155176786,84.65681752258469,113.43228772635824,10.526168384431244,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.4190936653034045,100.0,99.0,99.0,99.0,99.0,99.19,0.10975609756097561,82.0,26.303463768292684,34.661234,12.104603,26.8969065,33.6146772,33.75195479999999,34.05313784,5.951676520452876
51,3p1d_newrouter,5000.9607843137255,99.0,1897.4503567549018,221.58861399999998,2263.956108,2100.537089,2230.5080124,2263.43425635,2263.84556721,454.02748658228586,16.05282206862745,7.0528759999999995,18.839115,16.502572,18.83418,18.8360631,18.83836023,2.998358692510517,3470.6269235392156,1007.49358,4109.772561,3627.4798604999996,4039.3921969,4109.19258235,4109.73763467,693.040511851359,13.271495300612893,1313.8780347606764,65.318726881969,53.08104972022306,141.78613093438761,61.269325479505724,76.57557784254662,98.99727918331281,132.5492227274856,17.02517907901047,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.4410675246745881,99.0,99.0,99.0,99.0,99.0,99.0,0.0,102.0,21.190379362745098,38.556215,9.115502,20.7818975,27.3145758,27.5649405,37.86431794999995,5.75379562898701
61,3p1d_newrouter,5000.959016393443,99.0,1838.9321498688523,131.849557,3054.0685829999998,1821.845881,2917.2720345,3053.4747439,3054.01754651,753.6787878543232,15.552861081967212,7.059266,16.715311,15.6248405,16.6584621,16.69581825,16.714286039999998,1.0985625095177458,3363.105286,1683.227019,4625.268220999999,3330.6691699999997,4487.8899708,4624.767239399999,4625.2471416,791.9311050125071,16.113709624214927,1595.2572527972777,64.81998469652021,59.82539002714338,141.6577870843796,64.00065333050688,66.13449474178205,74.88682596740026,76.42667909178424,7.822481522845513,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.41285771342501737,100.0,98.0,99.0,99.0,99.0,99.0,0.12803687993289598,122.0,24.41214956557377,34.337415,9.384723,25.377722,31.102268699999996,33.52214544999998,33.78790754,6.447137418926792
71,3p1d_newrouter,5000.957746478874,99.01408450704226,2404.16488528169,93.98961399999999,3094.103635,2548.2166825,3006.5636612,3093.4359473,3093.8385433699996,615.8141337375705,19.031051845070422,7.236504999999999,22.422468,18.505912,22.3199675,22.4151766,22.42141818,3.78616630402818,4269.509007154929,1402.8129999999999,5271.2137379999995,4343.0640625,5174.3923872,5270.31514125,5270.933904449999,932.3606846222631,15.085609556738328,1493.687819491133,56.106427399689665,44.59812363206405,138.18825524199872,54.038159135878246,72.1192359499093,107.41670918467108,130.14570065359277,18.738111320340824,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.4089360884776895,101.0,98.0,99.0,99.0,99.0,99.59,0.2050735180079019,142.0,24.564831739436617,51.34506,8.509808999999999,23.385047999999998,33.5146945,48.157185299999995,51.27801246,9.977383791973837
81,3p1d_newrouter,5000.956790123457,98.99382716049382,3172.4380456790122,556.429864,7456.79896,3130.224483,3382.245504,3476.3956078,4234.622585319979,470.4806122390214,22.340796697530866,8.099656999999999,23.536073,22.921537,23.5236138,23.530494899999997,23.532410170000002,2.8808809130825863,5361.687498611111,2736.0354589999997,8262.673622999999,5372.796303499999,5572.502240100001,5718.291706599999,5878.558410719994,487.7196375665425,14.510332762817145,1436.4333735635714,46.602942336895694,42.48797154903454,123.46201820644998,43.62709188908079,44.5171643219401,44.96958368022901,122.32681580441182,14.418268190534727,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.42088626996866146,100.0,98.0,99.0,99.0,99.0,99.38999999999999,0.17557361300404803,162.0,25.69540482716049,51.424499,8.714716,24.3540675,35.6604429,38.0358911,48.70538851999999,8.834398954744756
91,3p1d_newrouter,5000.945054945055,98.77472527472527,3306.9916650934065,371.517257,7887.701876,3057.081625,3647.5963860999996,6162.223186249998,7470.1104651199985,1064.4806115647555,20.59065189010989,7.344926999999999,27.098475,21.3155675,25.1180865,26.24633364999999,27.09621849,4.027429088132478,5318.8987093186815,1688.283669,9795.245764,5212.175784,6085.8482415,7029.430934899999,8706.721392699996,966.4998495681094,15.668117486365881,1547.6140002879092,51.818029485581164,36.902445617327174,136.14839194453532,46.9140688789676,69.86747222426553,107.96698766205553,115.93252557215762,17.541130278574546,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.4287122901787069,101.0,95.0,99.0,99.0,99.0,99.19,0.8246335725166833,182.0,27.269024714285713,55.318757999999995,9.633246999999999,26.947321,43.531884399999996,46.95681785,54.33439447,10.758544457600124
