concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
1,3p1d_router,5000.5,99.0,1323.7528539999998,1150.182313,1497.323395,1323.7528539999998,1462.6092867999998,1479.9663409,1493.85198418,173.570541,8.63105,6.873448,10.388651999999999,8.63105,10.037131599999999,10.2128918,10.35349996,1.7576019999999999,2169.595772,1823.780209,2515.411335,2169.595772,2446.2482224,2480.8297786999997,2508.49502374,345.815563,0.4601334507009837,45.55321161939739,120.8731339857697,96.25887940033029,145.4873885712091,120.8731339857697,140.5645376541212,143.02596311266515,144.9951034795003,24.614254585439404,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.5,5000.9,5000.95,5000.99,0.5,99.0,99.0,99.0,99.0,99.0,99.0,0.0,2.0,180.37337,351.426695,9.320045,180.37337,317.21603,334.32136249999996,348.0056285,171.053325
11,3p1d_router,5000.909090909091,99.0,746.5796612727272,208.829601,1871.544933,376.6262445,1862.4024797,1870.9778410999998,1871.5205898,636.6035723224638,9.1531915,8.178795,10.076744999999999,9.0776845,10.0560369,10.07542125,10.07668116,0.7851235468276053,1643.5924269999998,1010.8200919999999,2848.054583,1364.1323654999999,2847.8921874,2847.8979466999995,2848.02171128,677.4956723027987,5.542153401240313,548.673186722791,110.06308045525311,99.23839493804795,122.26740002653202,110.2092561640763,121.49595448239805,121.54748915264678,122.11624046015793,9.469760035240665,profile,genai_perf_config.yaml,False,5001.0,5000.0,5001.0,5001.0,5001.0,5001.0,0.28747978728803447,99.0,99.0,99.0,99.0,99.0,99.0,0.0,22.0,23.730302272727272,156.705313,9.73738,17.3918015,23.193425400000006,23.4780753,128.7278989899999,29.154479425837415
21,3p1d_router,5000.928571428572,98.97619047619048,801.1196900952381,113.51574699999999,1128.3552479999998,806.220242,1127.4077218,1128.3225005,1128.35061828,249.61914724820588,11.308157142857143,9.027413,12.116098,11.1751575,11.9846258,12.08586355,12.112196439999998,0.6882495076789124,1908.9954611666667,1059.029981,2299.9310929999997,1974.412517,2297.7460093,2299.8277067,2299.90175709,301.106713161053,10.046603295919152,994.3745214556169,88.78587882786734,82.53482267971091,110.77370670866615,89.48419751890577,93.67005547945344,98.04266880807353,107.85188294472343,5.849131207906936,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5001.59,0.3375582590180434,100.0,98.0,99.0,99.0,99.0,99.59,0.26619856874997494,42.0,19.08384238095238,27.142115999999998,10.325111,19.016015499999998,25.141980899999997,25.174321850000002,26.432614279999992,4.058331590340507
31,3p1d_router,5000.935483870968,99.01612903225806,976.8656918548387,94.95506499999999,1664.695734,876.059361,1664.1441422,1664.471376,1664.6670274,495.2382710425542,12.319897322580644,8.453424,13.60775,12.0269695,13.5314253,13.5339651,13.59556037,1.121897591338037,2184.3948168225807,1228.764322,2990.485803,2023.4547029999999,2989.8624621999998,2990.1074883499996,2990.46533628,575.9775977202343,12.333087222533086,1221.1745557924291,81.91530115933735,73.48753467693042,118.29526118647308,83.14664947065029,89.77542384279202,94.29921897798921,109.1170667607351,8.3037188321071,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.3963937331433712,100.0,99.0,99.0,99.0,99.0,99.39,0.12597176896623638,62.0,21.940512629032256,29.185066,9.85008,21.058712,28.088564299999994,28.3080221,29.03815787,4.275418412251752
41,3p1d_router,5000.914634146341,98.96341463414635,1309.2310317439023,81.131338,1905.976686,1299.9967534999998,1875.6743362999998,1876.12091965,1905.4316855999998,505.1742428895499,13.7762555,7.408122,16.176287,13.076533,15.866911599999998,15.8895968,15.947043229999998,2.001552133288815,2658.723231926829,1248.3310199999999,3458.8439919999996,2544.60165,3430.4156165,3430.77062205,3458.65908439,663.6874171097804,13.682101107434136,1354.0274449613173,74.4248263166137,61.81888340630949,134.98697780625105,76.47287313194612,89.24885638987435,95.82768300725108,121.04477346659506,13.019861117900188,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.4190936653034045,99.0,97.0,99.0,99.0,99.0,99.0,0.24420712676220468,82.0,23.1000978902439,34.505154999999995,10.069419,23.459979,32.7353008,33.296285749999996,34.35550507,6.2726035289511275
51,3p1d_router,5000.9607843137255,99.0,1492.15864427451,233.719394,2483.8810249999997,1359.0405715,2432.2513996,2483.597972,2483.85051046,666.0882533119322,14.84213095098039,7.615258,17.296082,14.414933999999999,17.1876463,17.286639899999997,17.29439401,2.052003152759534,2946.667175147059,1720.574781,4168.058112,2688.7609064999997,4127.058493699999,4167.4937879,4168.01970204,820.622818683723,15.2366063652914,1508.4240301638486,68.87577440353475,57.816562155521694,131.31531459603863,69.53427546917491,76.90046818690793,77.66367352529387,108.15125201347297,11.290579657979476,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.4410675246745881,100.0,98.0,99.0,99.0,99.0,99.0,0.14002800840280097,102.0,24.156405862745096,38.007045999999995,9.954143,25.395974,30.7800853,37.11463704999996,37.51180512,6.4042673190395085
61,3p1d_router,5000.959016393443,99.02459016393442,2025.1810332868852,264.777404,2862.250267,2000.3271304999998,2797.0751681999996,2861.6531378,2862.0958801799998,746.3994452035957,16.457630286885244,7.789485999999999,19.643189,16.1351315,19.6329098,19.6362826,19.63918982,3.35857475787844,3638.475756508197,1153.468141,4786.261294999999,3529.8111544999997,4710.2724312,4785.802505449999,4786.15968056,967.4991659988632,14.631448063750703,1448.8731480178053,64.40330401104374,50.90823083767101,128.37817540207402,61.991040079437624,95.8799669052194,95.93449304153317,126.07747970845966,18.47856443912704,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.41285771342501737,100.0,99.0,99.0,99.0,99.0,100.0,0.1548724887515671,122.0,23.22071394262295,42.433019,13.023155,23.0708645,37.7184693,40.451679499999976,41.833149039999995,7.754013545326506
71,3p1d_router,5000.957746478874,98.99295774647888,2509.1793731267603,641.527881,3256.789573,2577.3726125,3083.5093294999997,3255.415912,3256.74083889,614.6067817150291,19.41893188028169,7.411194999999999,22.144917,20.1092525,22.131626100000002,22.133903999999998,22.13829632,3.84830814361076,4412.08057234507,1578.87025,5404.056872,4581.274496,5252.5537235,5403.59451955,5403.978749409999,940.1371904134046,14.7061284201585,1455.8031493110425,55.43827533563552,45.15708954790844,134.93100640315092,49.73041190637082,103.25164215353063,107.88063475694153,130.29180166567286,20.24572242086618,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.4089360884776895,100.0,98.0,99.0,99.0,99.0,99.0,0.14517977554991765,142.0,26.634300570422532,41.278462,9.669008,23.425482,40.0021067,40.7553529,41.242152899999994,8.072867318670658
81,3p1d_router,5000.956790123457,99.00617283950618,2526.046521376543,588.821415,4999.872392,2571.8142399999997,3314.390666,3394.92708305,3464.3357629599973,807.70870841336,18.584061895061726,7.043353,22.506548,18.0502245,22.458966399999998,22.491274999999998,22.505163829999997,3.410419844845891,4347.469323024691,1540.694376,6484.87141,4383.319955999999,5519.1151696,5595.00342285,5595.80800381,1095.4974934699687,16.497176830796867,1633.3223406737714,56.32390327175449,44.431513886536486,141.97783356875624,55.40097316705845,70.00683659262386,73.5099762136284,119.04480857518439,14.8275834011173,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.42088626996866146,101.0,97.0,99.0,99.0,99.0,100.0,0.2832115986902336,162.0,26.289448999999998,46.531665,8.617132,23.109866999999998,42.5629112,43.879677949999994,46.10524871999999,9.92860295531174
91,3p1d_router,5000.945054945055,99.0,3101.2294490054946,744.042338,5814.547471999999,3152.8569545,3439.8481075,5202.551757099998,5570.94044357,795.443295505874,19.449832258241756,7.075861,22.441554,20.765361,22.428881899999997,22.4321712,22.437714109999998,3.511816322272495,5007.317137241758,1981.6011669999998,6946.805726,5151.699917,5624.190369,6500.4807461499995,6725.79252191,844.5085658824321,16.305392438980334,1614.233851459053,54.021727068951876,44.56019400439025,141.3255574127304,48.15712093595931,78.82478653494478,84.87846228025913,110.30103099010338,15.115838486732011,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5002.0,5002.0,0.4287122901787069,100.0,98.0,99.0,99.0,99.0,99.0,0.10482848367219183,182.0,27.83886582967033,45.171358999999995,10.575090999999999,25.4723355,43.4884853,44.06297935,44.566810499999995,9.837248499561992
