concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
1,4a_10router,5001.0,99.0,860.4136159999999,841.4117339999999,879.415498,860.4136159999999,875.6151216,877.5153098,879.03546036,19.001882,6.8467424999999995,6.836354,6.857131,6.8467424999999995,6.8550533,6.85609215,6.8569232300000005,0.0103885,1531.3943645,1513.410571,1549.378158,1531.3943645,1545.7813993,1547.57977865,1549.01848213,17.9837935,0.6514242123545896,64.49099702310437,146.05519371831718,145.83358550390827,146.27680193272613,146.05519371831718,146.23248028984435,146.25464111128522,146.27236976843795,0.2216082144089313,profile,genai_perf_config.yaml,False,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,0.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,2.0,5.294137999999999,5.653778,4.934498,5.294137999999999,5.581849999999999,5.617814,5.6465852,0.35963999999999996
11,4a_10router,5000.772727272727,99.0,411.6667192727272,89.35914,1121.050547,291.481652,1008.7456387000002,1115.9050860999998,1121.03377745,344.39197757815185,8.975790272727274,6.956257,11.921738,8.752316,10.6052736,11.2620884,11.790138769999999,1.3721103399488548,1291.2941603636361,933.7923559999999,2017.510851,1131.681247,1865.1886117999998,2009.8338195,2017.4973618599997,366.17280274127063,7.313029200169695,723.9898908167997,114.01054167291636,83.88038723884051,143.7554707941354,114.27092920494644,137.86755032877076,142.92626652503162,143.62967045956987,17.20801730287495,profile,genai_perf_config.yaml,False,5001.0,5000.0,5001.0,5001.0,5001.0,5001.0,0.4190702026042222,99.0,99.0,99.0,99.0,99.0,99.0,0.0,22.0,64.44359981818182,307.88864,6.4462079999999995,7.400346,222.6717010000002,300.8372956999999,307.16402135,96.74218447856923
21,4a_10router,5000.809523809524,98.97619047619048,262.7552463571429,47.418988,533.955906,249.36676949999998,431.04829,525.90963745,530.7019766699999,130.37377806952742,10.825344095238094,8.064157,15.681519,10.8379645,13.241770099999998,13.636279299999998,15.279004779999996,1.8671431030845953,1323.3807967142855,1047.863776,1585.099861,1326.1478124999999,1584.1266884,1584.9115651500001,1585.07535571,175.06213402146278,15.192248358995638,1503.6708673415444,95.1496138474781,63.76933254999085,124.00552221391521,92.26824853414305,117.51589225416984,123.91200514167997,123.97667557499535,16.380828543462417,profile,genai_perf_config.yaml,False,5001.0,5000.0,5001.0,5001.0,5001.0,5001.0,0.39267672624930106,99.0,98.0,99.0,99.0,99.0,99.0,0.1524553389864964,42.0,86.67685669047619,493.806723,6.837186,9.2922625,254.1925156999999,293.6934797499999,453.56786872999965,115.76300602172773
31,4a_10router,5000.870967741936,98.96774193548387,348.1733608709677,33.972806999999996,835.563183,283.8338925,687.2380127,800.9080173499998,835.5010429099999,209.80937055864322,12.731501483870968,8.376714,21.155324999999998,12.3737335,16.334586599999998,19.54644224999999,20.439232580000002,3.1176979333320536,1595.4888280967741,980.80162,2252.4772989999997,1588.0609155,2218.0304826999995,2252.3485666999995,2252.4770129099998,374.44587945735634,17.764093527318643,1758.072223929471,83.20065179332086,47.269422710357794,119.37855345186668,80.81635184303389,117.33489554589127,117.51479150856338,119.3659851735266,19.7980631879835,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5001.39,0.3803169716952129,99.0,98.0,99.0,99.0,99.0,99.0,0.17668469596940842,62.0,111.93420553225806,676.7815909999999,7.192416,18.006363999999998,355.16212879999995,548.2860945999996,670.8226065299999,169.5756704965356
41,4a_10router,5000.914634146341,99.0,561.0158486585366,132.315285,946.004416,611.5813445,896.4097682,910.3513634,930.23902555,225.82625671324627,13.55706431707317,9.635935,19.278798,13.0841775,17.233751199999997,18.7192016,18.86707581,2.7409747825486432,1889.6081550853658,1614.542199,2169.0713259999998,1859.7519694999999,2161.9965258,2168.7537940999996,2169.04350088,222.82890842747753,20.359206452387287,2015.5614387863413,76.8862104989595,51.87045374924308,103.77820107752906,76.42818970332866,101.84448512453007,103.71176637641985,103.74604935164479,15.767176593664505,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.35617272845146913,99.0,99.0,99.0,99.0,99.0,99.0,0.0,82.0,184.09826892682926,688.870649,7.860713,102.234071,473.56836660000005,507.14147770000005,641.3998627099999,188.37303939902662
51,4a_10router,5000.931372549019,98.99019607843137,283.19501798039215,41.538557999999995,647.3029809999999,230.35272899999998,454.4746324000001,567.5239774499998,625.0913736399999,145.25970143427494,14.44661437254902,9.828156,20.521712,15.114218999999999,18.8528781,19.193989399999996,20.513725449999995,3.182794853425182,1698.8091945392157,1176.76754,2304.008014,1631.0756405,1944.8883560999998,2166.3180717999994,2196.6705119699996,280.2739226646601,28.448234027873298,2816.0962645042814,72.91581251728083,48.72887798055055,101.74848669475739,66.16286306334098,100.15600875763786,101.70769511471782,101.74699333236065,17.057283977711116,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.350344478141287,99.0,98.0,99.0,99.0,99.0,99.0,0.09852819236393033,102.0,150.5113286470588,702.904491,7.216406999999999,62.429706499999995,445.0751300000003,508.80100074999984,528.4613580399999,174.84818973486412
61,4a_10router,5000.901639344263,98.97540983606558,339.1136172213114,84.428,781.85793,290.8286005,611.9983916000001,747.31046665,770.1314397899997,182.99551077845584,14.091551344262294,9.840069999999999,21.329518999999998,13.7145505,17.954794399999997,18.792393649999994,20.22666212,2.7914906211858397,1719.6949024180328,1296.245318,2272.890335,1742.917675,2042.5663941999999,2165.3758638,2272.5492827,272.9279654669714,33.34992351703491,3300.822348099972,73.72545931203335,46.88338260229872,101.62529331600284,72.91575951540338,95.75112158558062,97.0118988083034,101.61634914692736,14.242036136862925,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.371303332882168,99.0,98.0,99.0,99.0,99.0,99.0,0.1548724887515671,122.0,207.1074653606557,1125.213881,8.085331,84.096896,619.4939698000002,780.9577624,1017.4741053399999,266.4762521123719
71,4a_10router,5000.894366197183,98.98591549295774,239.57828793661972,31.106215,755.2626329999999,166.0270615,567.4945624,628.4684062,698.72202548,191.7944734739023,14.878471521126759,9.832053,20.297763,14.331685,19.292827499999998,19.7031802,20.294550289999997,2.8273908463984374,1697.464460225352,1091.900142,2498.64478,1580.508676,2489.1885359,2496.78024125,2498.44196304,384.6051653243612,37.23557243783311,3685.7972266632555,69.70273497405755,49.26651276793408,101.70815800118245,69.77546608837224,90.21234896426188,93.26671594063617,100.84572097738433,13.390279561105075,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.3697686082485937,100.0,98.0,99.0,99.0,99.0,99.0,0.1672442547470129,142.0,48.958584309859155,276.099781,5.2170689999999995,14.147578999999999,136.8236258,140.67181559999997,268.41907941,62.740994643952696
81,4a_10router,5000.907407407408,98.98765432098766,373.15167929629627,89.71764999999999,1025.050741,361.091293,586.2908345,626.9121018999999,977.6138630299988,177.9761235531743,13.677697172839505,8.859912999999999,24.51015,12.5951825,18.6490361,22.3705218,24.50933266,3.6241253121967674,1713.398805265432,1214.598444,2602.5927619999998,1595.9627369999998,2519.0376349,2520.5187981999998,2602.1698292399997,374.59510970603174,38.75760493470094,3836.5243995855826,77.48455320053823,40.79942391213436,112.86792545254112,79.39543554376849,101.95745185286471,108.18419215240705,112.86000611394721,17.35775994136328,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.36524227635770407,99.0,98.0,99.0,99.0,99.0,99.0,0.11042310999998961,162.0,160.02275195061728,922.396086,5.6068109999999995,66.2861515,514.9615007,712.8443797499999,922.14530571,230.63043828620997
91,4a_10router,5000.923076923077,99.0,217.98778174175823,55.260833999999996,414.476518,195.3428425,348.4695698,369.88163655,384.6769554499999,92.05810491998965,12.810972582417582,12.122508999999999,15.228608,12.5666575,13.784522599999999,13.9012128,14.371859099999996,0.65476743882553,1473.4630976208791,1356.530832,1684.863782,1433.912589,1635.0523524,1677.1127574,1684.72201163,98.67697078142295,58.145479824390684,5756.402502614678,78.25383110991467,65.66588357911635,82.49117406305906,79.57565628253501,82.2483901652182,82.47078513800876,82.4888225294821,3.834942161262659,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.35489572004297015,99.0,99.0,99.0,99.0,99.0,99.0,0.0,182.0,56.38674093406593,285.74476699999997,5.096576,20.0393075,141.0149287,159.16651229999997,195.57215780999982,61.0685688500177
