concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,output_token_count_avg,output_token_count_min,output_token_count_max,output_token_count_p50,output_token_count_p90,output_token_count_p95,output_token_count_p99,output_token_count_std,benchmark_duration_avg,end_time,error_summary_count,input_config_cli_command,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,inter_chunk_latency_avg,inter_chunk_latency_max,inter_chunk_latency_min,inter_chunk_latency_p50,inter_chunk_latency_p90,inter_chunk_latency_p95,inter_chunk_latency_p99,inter_chunk_latency_std,max_response_timestamp_avg,min_request_timestamp_avg,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,start_time,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std,total_isl_avg,total_osl_avg,total_output_tokens_avg,was_cancelled
1,4a,2000.0,100.0,68.1023465,66.13896799999999,70.065725,68.1023465,69.67304929999999,69.86938715000001,70.02645743000001,1.9633785,6.544376732323232,6.535851242424242,6.5529022222222215,6.544376732323232,6.551197124242424,6.552049673232323,6.552731712424242,0.008525489898989908,715.995643,713.188241,718.803045,715.995643,718.2415646,718.5223047999999,718.74689696,2.8074019999999997,1.392045405013157,139.2045405013157,152.80319852965724,152.60413875989127,153.0022582994232,152.80319852965724,152.96244634547,152.98235232244662,152.9982771040279,0.19905976976596662,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.436734745,2025-11-13T22:22:16.755162,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 1 --output-tokens-mean 100 --request-count 2 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl2000_osl100/c1""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,6.544376732323232,6.991254,5.639354,6.593743,6.6538992,6.7468494,6.8065428,0.13291800019311695,1.763101336753182e+18,1.7631013353164472e+18,100.0,100.0,100.0,100.0,100.0,100.0,0.0,2.0,2025-11-13T22:22:15.314797,5.858524999999999,6.0776959999999995,5.639354,5.858524999999999,6.0338617999999995,6.0557789,6.07331258,0.21917099999999998,4000.0,200.0,200.0,False
10,4a,2000.0,100.0,100.53255279999999,49.8593,182.07958499999998,82.093987,170.2474153,176.83827920000002,181.03132384,45.582391178758215,7.379681278787879,6.659162484848484,7.970771616161616,7.469888404040403,7.95799905050505,7.967799651515151,7.970177223232323,0.45953285883015843,831.1209994,721.4866599999999,920.218182,841.057068,919.8279163999999,919.9133194,920.15720948,54.719186258488634,11.750803486011927,1175.0803486011928,136.03950498320168,125.45836816756737,150.16903436059542,133.87182471925678,148.8847337780326,148.9995920182224,149.9351458921208,8.558984264530059,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.702011273,2025-11-13T22:22:31.629908,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 10 --output-tokens-mean 100 --request-count 20 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl2000_osl100/c10""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,7.379681278787878,127.798789,1.392885,6.904444499999999,7.097375099999999,7.1745866,12.962842440000006,5.304410031311124,1.7631013516271516e+18,1.7631013499251405e+18,100.0,100.0,100.0,100.0,100.0,100.0,0.0,20.0,2025-11-13T22:22:29.922862,27.56541455,127.798789,1.392885,12.215924999999999,54.79260060000011,122.5802528,126.75508175999998,35.89792328951343,40000.0,2000.0,2000.0,False
20,4a,2000.025,100.0,197.234623025,53.106431,255.522563,235.7368545,247.5192971,248.13209829999997,255.45051166999997,63.641819567842084,7.641085430555555,7.187464888888889,9.088238343434343,7.256748227272727,8.61833718080808,9.00570972979798,9.064347435858584,0.6445308543547885,953.70208065,900.32007,972.4488369999999,961.1435789999999,971.3644846,971.8955325499999,972.23851351,21.199499618179708,20.728872254494036,2072.8872254494036,131.7274056138971,110.03232554111375,139.13111444146338,137.80276950601439,139.00328505064635,139.06440726941148,139.11555735323196,10.157497672800321,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.9296756480000001,2025-11-13T22:22:46.713706,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 20 --output-tokens-mean 100 --request-count 40 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl2000_osl100/c20""",2001.0,2000.0,2000.0,2000.0,2000.0,2000.61,0.15612494995995996,7.641085430555556,194.757936,6.12995,7.2375995,7.424547799999999,7.492670649999999,8.601150109999999,7.457886653445175,1.763101366711598e+18,1.7631013647819226e+18,100.0,100.0,100.0,100.0,100.0,100.0,0.0,40.0,2025-11-13T22:22:44.778837,45.9190901,194.757936,6.12995,6.621003,136.40770540000005,180.94129265,189.39631115999998,63.41915981786926,80001.0,4000.0,4000.0,False
30,4a,2000.0,99.98333333333333,205.394205,59.561076,379.550486,197.5458335,337.1926053000001,375.75706775,378.8044015,94.34241772809307,8.831140595573078,7.39421198989899,12.08996908080808,8.493468584364049,10.184626284848484,10.21376332979798,12.087111919393939,1.1866225388988718,1079.53488865,850.0839259999999,1267.091516,1074.1193615,1265.4712507,1265.9132633,1266.88661431,130.91236506962386,27.085030632765626,2708.05164609935,115.20434219681937,82.71319747106921,135.2409156467342,117.74022554094076,134.6960541738995,135.14853405478664,135.2290850553409,14.793893860759551,99.98333333333333,99.0,100.0,100.0,100.0,100.0,100.0,0.12801909579781012,2.215245787,2025-11-13T22:23:02.338693,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 30 --output-tokens-mean 100 --request-count 60 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl2000_osl100/c30""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,8.831190607678058,317.567406,5.97493,7.5031099999999995,7.7306684,7.8357887,23.151517599999988,13.847133505105441,1.763101382335277e+18,1.7631013801200312e+18,100.0,99.0,100.0,100.0,100.0,100.0,0.12801909579781012,60.0,2025-11-13T22:23:00.116443,63.73360948333333,317.567406,6.195021,7.814356,129.1152662,265.87667934999996,314.85560552,77.0169732647607,120000.0,5999.0,5999.0,False
40,4a,2000.0375,99.9875,300.0510421625,52.129217,475.00807,283.19541649999996,459.2860498,460.40698135,469.10437708999996,122.27670231079199,9.453003255440887,7.981639262626262,12.324160171717171,9.492569444444444,11.40639524646465,11.886862866666666,12.262817174444441,1.254102415662583,1235.7973692374999,1160.310919,1277.665753,1260.658782,1274.9044814000001,1275.3012995499998,1277.55887311,41.53166378219343,31.48211392435635,3147.8178660115805,107.57246060904887,81.14143163238897,125.2875464671103,105.34555536916606,123.50821465735423,125.0087114600132,125.23585568573954,13.557833355172846,99.9875,99.0,100.0,100.0,100.0,100.0,100.0,0.11110243021644485,2.5411254210000003,2025-11-13T22:23:18.234942,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 40 --output-tokens-mean 100 --request-count 80 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl2000_osl100/c40""",2001.0,2000.0,2000.0,2000.0,2000.0,2001.0,0.1899835519196333,9.45317668468241,427.49224899999996,5.682138999999999,8.055598,8.3025124,8.3827638,10.111241059999998,18.484761003379617,1.7631013982329564e+18,1.763101395691831e+18,100.0,99.0,100.0,100.0,100.0,100.0,0.11110243021644485,80.0,2025-11-13T22:23:15.687487,144.632153325,427.49224899999996,6.9653089999999995,145.3347935,334.9703418000003,379.15643305,423.8906769199999,123.91367045383049,160003.0,7999.0,7999.0,False
50,4a,2000.01,100.0,284.01880972000004,52.204311,608.1360199999999,245.85029849999998,566.7096424,603.50960575,606.91515893,160.27866459904305,10.898129872656243,7.977515333333333,17.51958108080808,10.90236258080808,13.885716134343438,15.73991965,16.058705010808087,2.176245605438714,1362.89289019,945.422145,1793.9263629999998,1357.598857,1791.3088929,1791.7923667,1792.42382812,255.32691698577244,35.75968204315901,3575.968204315901,95.260989819569,57.07899038153688,125.35231312205562,91.72421479964149,124.36057217496844,124.57843813426271,125.33629180967405,17.995309647025366,100.0,99.0,102.0,100.0,100.0,100.0,100.02000000000001,0.2449489742783178,2.7964454460000003,2025-11-13T22:23:34.448278,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 50 --output-tokens-mean 100 --request-count 100 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl2000_osl100/c50""",2001.0,2000.0,2000.0,2000.0,2000.0,2000.01,0.09949874371066196,10.899919988583552,557.7050399999999,1.9574859999999998,8.070810999999999,8.3946754,8.5942763,137.51451614,25.58956803099357,1.763101414446582e+18,1.7631014116501366e+18,102.0,99.0,100.0,100.0,100.0,100.02000000000001,0.2449489742783178,100.0,2025-11-13T22:23:31.644900,125.68510825999999,557.7050399999999,7.612095,44.122403,374.74657279999997,378.4204122,553.99570206,150.04720705439826,200001.0,10000.0,10000.0,False
60,4a,2000.0083333333334,99.96666666666667,308.90262210000003,35.545488999999996,705.170003,238.57559999999998,615.7447176,652.6156206999998,704.21584588,193.0327732194487,11.313718823761397,7.900030252525252,19.09362105050505,10.526359934343434,14.333256823232322,16.027634364141413,17.20600140282828,2.4788336479428903,1428.641141458333,927.035669,1955.3765649999998,1442.932685,1947.6756802,1949.5343652999998,1951.46330388,300.068891830678,40.61805836219052,4060.451900940312,92.47821844489069,52.3735124602543,126.58179374444154,94.99960160078703,123.10394063096756,125.86206611983728,126.57854385206231,19.230714121952765,99.96666666666667,98.0,100.0,100.0,100.0,100.0,100.0,0.2211083193570266,2.9543509670000003,2025-11-13T22:23:51.502095,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 60 --output-tokens-mean 100 --request-count 120 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl2000_osl100/c60""",2001.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.09090593428863096,11.31049009452862,654.063419,2.171389,8.151928999999999,8.526762699999999,8.837817799999991,140.441046,28.707976793814876,1.7631014315003935e+18,1.7631014285460426e+18,100.0,98.0,100.0,100.0,100.0,100.0,0.2211083193570266,120.0,2025-11-13T22:23:48.540754,150.35908766666665,654.063419,6.8302369999999994,89.0276805,465.9095408,470.07851,649.2032866799999,178.71355720749892,240001.0,11996.0,11996.0,False
70,4a,2000.0857142857142,100.00714285714285,378.35103792142854,36.342937,845.278191,293.310249,796.5426797,798.7447449499999,823.7893377299997,217.72071503974414,12.59709039405844,8.98929235,19.78885429292929,12.319480727272726,16.108273755555555,17.68998825353535,18.916057014848462,2.5672809246400052,1625.5271961642857,1184.619972,2025.0896089999999,1668.8848894999999,2018.4973988,2020.5589410999999,2022.8495277,278.73296543284226,41.7027948776737,4170.577364873639,82.63868354293133,50.53349654291545,111.24346178372983,81.1722532568217,109.83730010800846,110.2662799294936,111.02150326225673,16.381044609127866,100.00714285714285,100.0,101.0,100.0,100.0,100.0,100.0,0.08421304373251139,3.357089145,2025-11-13T22:24:08.436957,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 70 --output-tokens-mean 100 --request-count 140 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl2000_osl100/c70""",2002.0,2000.0,2000.0,2000.0,2000.0,2002.0,0.4050699108216521,12.597738972150072,795.9866519999999,4.435681,9.123123,9.510230199999999,9.690308349999999,153.72034681,34.99881557706323,1.763101448434945e+18,1.763101445077856e+18,101.0,100.0,100.0,100.0,100.0,100.0,0.08421304373251139,140.0,2025-11-13T22:24:05.071868,210.46980394999997,795.9866519999999,6.753893,153.649602,560.1001613999999,612.26612435,765.5773507999995,206.9730353800167,280012.0,14001.0,14001.0,False
80,4a,2000.01875,100.0,385.45619736874994,51.790979,938.411164,289.77989099999996,804.7440936,814.4525954999995,938.20806131,247.8941251641901,13.175378003951826,8.513679868686868,24.806731757575758,12.680745318181819,18.469668912121215,21.033899085353532,23.060868700325702,3.613116972536033,1689.7516228499999,921.20097,2519.440568,1746.4405815,2514.7581925,2517.6408083,2518.8877709299995,443.11363201835627,44.61246002497731,4461.246002497731,81.16900831988347,40.31163837995744,117.45802231511881,78.85971802926629,109.24287767958563,115.82574256160197,117.10954976637461,20.070839008597048,100.0,99.0,101.0,100.0,100.0,100.0,100.0,0.11180339887498948,3.586441992,2025-11-13T22:24:25.419480,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 80 --output-tokens-mean 100 --request-count 160 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl2000_osl100/c80""",2001.0,2000.0,2000.0,2000.0,2000.0,2001.0,0.13564084008881694,13.178029052601666,886.9559069999999,0.022817999999999998,9.0574345,9.5744895,10.1285565,157.43406425,38.18410880272953,1.763101465417428e+18,1.763101461830986e+18,101.0,99.0,100.0,100.0,100.0,100.0,0.11180339887498948,160.0,2025-11-13T22:24:21.824654,216.5590211625,886.9559069999999,7.325113,122.36668499999999,609.4053338999997,661.9456043999992,832.6083622299999,235.00160261255976,320003.0,16000.0,16000.0,False
90,4a,2000.0,99.99444444444444,456.9136454444444,36.356429999999996,1104.523077,364.58635999999996,1018.0929703999999,1031.3999273499996,1095.25459473,286.5814627230819,14.155864410378728,8.948191,24.794193838383837,13.730599075757574,19.588653207070696,22.722306535353535,23.29399447636365,3.9395112741808656,1858.287616261111,1185.639647,2520.707691,1875.3878419999999,2514.420595,2515.7004498,2518.6643792399996,457.81447234539246,47.016785864192485,4701.417382053336,76.06005887197435,40.33202315503003,111.7544317058051,72.8300342188148,108.40517942406377,110.3250095097623,111.72782875144719,20.283280320503824,99.99444444444444,99.0,100.0,100.0,100.0,100.0,100.0,0.07432826755699809,3.8284199290000003,2025-11-13T22:24:42.793310,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 90 --output-tokens-mean 100 --request-count 180 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl2000_osl100/c90""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,14.156087027723217,1053.38425,1.657635,9.152199999999999,9.6173494,9.817988,201.92322111999997,49.69692894014939,1.7631014827913577e+18,1.7631014789629376e+18,100.0,99.0,100.0,100.0,100.0,100.0,0.07432826755699809,180.0,2025-11-13T22:24:38.955578,286.28328720555555,1053.38425,6.458136,199.1928695,762.751276,861.9169030499997,1019.0292354400002,288.07228789343134,360000.0,17999.0,17999.0,False
