concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,output_token_count_avg,output_token_count_min,output_token_count_max,output_token_count_p50,output_token_count_p90,output_token_count_p95,output_token_count_p99,output_token_count_std,benchmark_duration_avg,end_time,error_summary_count,input_config_cli_command,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,inter_chunk_latency_avg,inter_chunk_latency_max,inter_chunk_latency_min,inter_chunk_latency_p50,inter_chunk_latency_p90,inter_chunk_latency_p95,inter_chunk_latency_p99,inter_chunk_latency_std,max_response_timestamp_avg,min_request_timestamp_avg,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,start_time,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std,total_isl_avg,total_osl_avg,total_output_tokens_avg,was_cancelled
1,3p1d,2000.0,100.0,78.73364749999999,71.418397,86.048898,78.73364749999999,84.5858479,85.31737294999999,85.90259298999999,7.315250499999999,6.527684555555556,6.525511646464646,6.529857464646464,6.527684555555556,6.529422882828282,6.529640173737373,6.529814006464646,0.00217290909090871,724.9744185,717.874286,732.0745509999999,724.9744185,730.6545245,731.36453775,731.93254835,7.1001325,1.3747751729629218,137.47751729629218,153.19369407262843,153.14269957868694,153.24468856656995,153.19369407262843,153.23448966778165,153.2395891171758,153.24366867669113,0.05099449394150213,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.4547833270000001,2025-11-13T21:21:24.331796,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8005"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 1 --output-tokens-mean 100 --request-count 2 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/disagg3p1d_isl2000_osl100/c1""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,6.527684555555556,8.668993,6.383541999999999,6.460585,6.6264502,6.638369249999999,6.77042453,0.18566881885024988,1.7630976843287775e+18,1.7630976828739942e+18,100.0,100.0,100.0,100.0,100.0,100.0,0.0,2.0,2025-11-13T21:21:22.872188,8.026205,8.668993,7.383417,8.026205,8.5404354,8.604714199999998,8.65613724,0.642788,4000.0,200.0,200.0,False
10,3p1d,2000.0,100.0,220.31893559999997,90.419963,388.101233,205.6617985,387.94908439999995,388.0952993,388.10004626,110.68658268653073,7.92032438838384,7.645761131313131,8.106657565656565,7.943027095959596,8.104886287878788,8.106345744949493,8.106595201515152,0.14141992075635232,1004.43105005,868.037872,1190.6215909999999,992.9787984999999,1190.2467712,1190.38329015,1190.5739308299999,117.65414464185262,9.073011746296174,907.3011746296174,126.29796644560447,123.35540164376106,130.7914258404583,125.89658973929602,129.5996999698904,129.68070449567603,130.56928157150185,2.2692334409366866,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,2.2043397010000003,2025-11-13T21:21:40.074745,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8005"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 10 --output-tokens-mean 100 --request-count 20 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/disagg3p1d_isl2000_osl100/c10""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,7.924326573521981,16.557502,4.028601,7.939965,8.287166599999999,8.484217199999998,10.619772960000043,0.8776294842987662,1.7630977000728046e+18,1.763097697868465e+18,100.0,100.0,100.0,100.0,100.0,100.0,0.0,20.0,2025-11-13T21:21:37.866038,14.6940749,16.557502,7.974132999999999,14.998595,16.29052,16.3953541,16.52507242,2.1385645208289814,40000.0,2000.0,2000.0,False
20,3p1d,2000.0,100.0,289.38053225,54.154579,600.8961029999999,255.3407355,556.1000381,558.1022632499999,597.2790811499999,149.69749464432354,8.85089351590909,8.539674686868686,9.004272686868687,8.856560873737372,8.999623538383837,9.001931912626262,9.003440572626262,0.1378263719246451,1165.618990325,925.377793,1482.1788159999999,1123.5528265,1447.3013524,1449.1560092999998,1482.0235753299999,157.76351434564816,15.655807240635031,1565.580724063503,113.01072945342125,111.05838692094947,117.1004794289978,112.91064979877663,115.36444229816094,117.07878020384672,117.09978799591846,1.7846571699976241,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,2.5549624740000003,2025-11-13T21:21:55.994303,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8005"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 20 --output-tokens-mean 100 --request-count 40 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/disagg3p1d_isl2000_osl100/c20""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,8.85089351590909,21.268432999999998,4.043671,8.9282155,9.5341639,9.757198449999999,12.032097849999998,1.067438234857923,1.76309771599235e+18,1.7630977134373875e+18,100.0,100.0,100.0,100.0,100.0,100.0,0.0,40.0,2025-11-13T21:21:53.434226,15.911760724999999,21.268432999999998,9.625193,16.983249999999998,18.696232199999997,19.284104549999995,20.850103009999998,2.7893573435391796,80000.0,4000.0,4000.0,False
30,3p1d,2000.0,99.98333333333333,357.2259222833333,84.99324299999999,694.672387,346.78484649999996,556.7016307000001,693.79966165,694.30854639,176.75550834558112,9.443839245447675,8.847433484848484,9.668449808080807,9.503943611111112,9.64070196161616,9.666667092424243,9.668362654949496,0.22952802068043018,1292.0061917833332,1039.395755,1651.217615,1281.5909815,1501.6892479,1650.7996142999998,1651.19570181,178.84108474820928,20.928611914572535,2092.5123812586776,105.95410166969666,103.42919701193551,113.02712834321188,105.21948955562688,110.37918496936615,112.9575193322513,113.00357170720005,2.6737856010328285,99.98333333333333,99.0,100.0,100.0,100.0,100.0,100.0,0.12801909579781012,2.866888652,2025-11-13T21:22:12.389487,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8005"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 30 --output-tokens-mean 100 --request-count 60 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/disagg3p1d_isl2000_osl100/c30""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,9.442224944444444,20.715540999999998,6.247769,9.402694499999999,10.1624751,10.65153785,12.227267289999995,1.1183229435112465,1.7630977323875973e+18,1.7630977295207086e+18,100.0,99.0,100.0,100.0,100.0,100.0,0.12801909579781012,60.0,2025-11-13T21:22:09.517059,16.603117033333334,20.715540999999998,8.397684,18.5882515,19.926159,20.1745767,20.70977906,3.7971313495303223,120000.0,5999.0,5999.0,False
40,3p1d,2000.0125,99.975,415.2769547625,80.577092,942.8065459999999,353.3743495,714.3057464999999,885.9285414,942.69274808,205.058258742288,10.250939019310449,9.543561474747476,10.578246928571428,10.321174878787879,10.448042340404038,10.466424038383837,10.496655010959595,0.2169123370064404,1429.8587199375,1109.151598,1953.3813819999998,1361.39313,1750.9291664,1900.0837923,1952.99344618,211.9307265174812,25.371385935031977,2536.504308854822,97.597167932843,94.53362232441741,104.78268544149134,96.88819760863336,100.37087033288078,101.18990167206543,104.77850859184014,2.1337349363909466,99.975,99.0,100.0,100.0,100.0,100.0,100.0,0.15612494995995996,3.153158452,2025-11-13T21:22:29.171908,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8005"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 40 --output-tokens-mean 100 --request-count 80 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/disagg3p1d_isl2000_osl100/c40""",2001.0,2000.0,2000.0,2000.0,2000.0,2000.21,0.11110243021644486,10.248300658333333,22.576014999999998,6.893097999999999,10.274281,11.421025499999999,11.86230355,13.738875489999959,1.3629873619923039,1.7630977491700685e+18,1.76309774601691e+18,100.0,99.0,100.0,100.0,100.0,100.0,0.15612494995995996,80.0,2025-11-13T21:22:26.012430,17.167206337499998,22.576014999999998,8.770893,19.32477,21.7530344,22.00316025,22.487552379999997,4.563022389053066,160001.0,7998.0,7998.0,False
50,3p1d,2000.0,99.99,477.88909857999994,46.016777,1038.649361,492.72754799999996,891.7678842,1014.1206679,1016.3160420800001,271.1675462795054,10.678177059654708,9.031314595959596,11.343473323232322,10.838888262626265,11.332349028282827,11.336668274242424,11.341972033232322,0.6248151485040521,1534.93811345,1101.286441,2151.150933,1501.39151,2004.6848950999997,2130.28539505,2131.34293776,291.84497013654106,28.012640470947343,2800.9839206900247,93.99579987347857,88.15642012856163,110.72585163264904,92.26039888262139,103.82561829133057,105.28042944864696,110.66769638328535,5.9410403653246044,99.99,99.0,100.0,100.0,100.0,100.0,100.0,0.09949874371066199,3.5698169940000004,2025-11-13T21:22:46.001868,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8005"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 50 --output-tokens-mean 100 --request-count 100 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/disagg3p1d_isl2000_osl100/c50""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,10.68373776905195,24.602075,4.1567039999999995,10.6663915,12.354045,12.98989045,14.570965979999993,1.6241458755166231,1.763097765999906e+18,1.763097762430089e+18,100.0,99.0,100.0,100.0,100.0,100.0,0.09949874371066199,100.0,2025-11-13T21:22:42.425065,18.51030075,24.602075,8.790856999999999,19.593632,23.1828737,23.462276849999995,24.215367139999998,4.415020252276642,200000.0,9999.0,9999.0,False
60,3p1d,2000.0,100.0,477.20561911666664,65.771109,1286.5158569999999,345.06312399999996,927.5017173,1173.9804642,1286.02407851,324.0483631445398,11.643734099232685,9.989825303030303,12.279250858585858,11.925249075757574,12.205531944444443,12.238454794949494,12.274901414141414,0.611722011555117,1629.9343783083334,1162.4242689999999,2486.5809879999997,1478.2713724999999,2133.6953905,2378.95723935,2485.8171422299997,354.3199781624091,32.35902010074482,3235.9020100744824,86.13319956408058,81.43819289275153,100.10185059959568,83.85569257360315,93.13302223728586,95.44036704704992,99.41673104033526,4.766079515342512,100.0,99.0,101.0,100.0,100.0,100.0,100.0,0.12909944487358055,3.7083941240000002,2025-11-13T21:23:03.276842,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8005"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 60 --output-tokens-mean 100 --request-count 120 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/disagg3p1d_isl2000_osl100/c60""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,11.647646606854158,47.994189999999996,0.008773,11.5710675,13.545492999999999,14.4241835,17.9589835,2.0865076583422364,1.7630977832750344e+18,1.76309777956664e+18,101.0,99.0,100.0,100.0,100.0,100.0,0.12909944487358055,120.0,2025-11-13T21:22:59.560998,20.056683308333334,27.888327,8.966749,21.2235865,25.882036900000003,26.7990681,27.57026596,5.296724593058825,240000.0,12000.0,12000.0,False
70,3p1d,2000.0142857142857,99.98571428571428,532.9408332785714,91.484443,1307.3609139999999,378.77223399999997,1154.487387,1157.11164515,1302.1550160399997,342.5463506653937,12.220024627762855,10.042439434343434,13.237748606060604,12.589646611111112,13.061215720202021,13.121441433333331,13.232426174545454,0.8362435929805241,1742.5225614642854,1297.023479,2591.196887,1520.4840199999999,2449.3277101999997,2451.8447926999997,2588.8448109899996,389.7806875453285,34.961046838625485,3495.605240336283,82.23963418990768,75.54154635797906,99.57739915066553,79.43037183691966,90.71362507658395,92.83234033818725,99.34847165561929,5.956710229807219,99.98571428571428,98.0,101.0,100.0,100.0,100.0,100.0,0.2065261756400137,4.00445675,2025-11-13T21:23:20.733896,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8005"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 70 --output-tokens-mean 100 --request-count 140 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/disagg3p1d_isl2000_osl100/c70""",2001.0,2000.0,2000.0,2000.0,2000.0,2000.61,0.11866605518454393,12.217997254401155,59.127793,0.00746,12.195011,14.525248099999999,15.439232799999997,18.700501179999993,2.3469439676813817,1.7630978007319311e+18,1.7630977967274742e+18,101.0,98.0,100.0,100.0,100.0,100.0,0.2065261756400137,140.0,2025-11-13T21:23:16.721442,21.134722985714287,30.595727,10.19714,23.7751245,27.086892900000002,28.158766649999997,29.177199339999994,5.6422518428236375,280002.0,13998.0,13998.0,False
80,3p1d,2000.0,99.99375,541.57778871875,63.835240999999996,1643.817969,363.15671199999997,1158.7551677,1366.1217914000001,1587.1745254199996,414.94443904540077,13.374175342400406,10.463382505050504,14.694655282828283,13.825383636363636,14.590916797979798,14.660441024747474,14.686765878181816,1.1695663559628384,1865.54682533125,1195.716745,3096.8920749999997,1701.4270545,2571.2668989999997,2800.9785754,3037.9875966,474.7253397033281,38.09095383334424,3808.8573148729656,75.39722297765198,68.05195363572555,95.57138903383454,72.33139025927414,88.78580574644994,90.01040758004828,95.44707552010586,7.188268298125579,99.99375,99.0,100.0,100.0,100.0,100.0,100.0,0.07880950133074058,4.200472393,2025-11-13T21:23:38.472327,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8005"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 80 --output-tokens-mean 100 --request-count 160 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/disagg3p1d_isl2000_osl100/c80""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,13.374268947408295,50.545961999999996,0.007338,13.446971,15.9310816,16.9419565,19.20783017999999,2.51400296411375,1.7630978184701588e+18,1.7630978142696865e+18,100.0,99.0,100.0,100.0,100.0,100.0,0.07880950133074058,160.0,2025-11-13T21:23:34.262568,22.67180459375,33.078505,9.761044,23.249875499999998,30.386439199999998,31.411725299999997,32.30768855,6.2279522149969,320000.0,15999.0,15999.0,False
90,3p1d,2000.0,100.0,611.5729169833334,70.182969,1621.4480589999998,374.186957,1591.862866,1597.45844625,1619.1094288900001,462.8828742906243,13.71738270084972,9.280435888888888,15.14434205050505,13.959190292929291,14.966677952525252,15.083362121717169,15.128145835757575,1.1037142534799396,1969.5807172666666,1121.16623,3069.592877,1771.1890405,2815.321822,2846.7296323,3067.9513358699996,483.5639131618652,40.24917401405351,4024.9174014053506,73.40756688158251,66.0312608276469,107.7535594203352,71.63739293017066,81.78737123711268,82.00103549386854,89.34179130294578,6.356659873519388,100.0,99.0,101.0,100.0,100.0,100.0,100.0,0.10540925533894598,4.472141464,2025-11-13T21:23:56.432087,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8005"" --synthetic-input-tokens-mean 2000 --synthetic-input-tokens-stddev 0 --concurrency 90 --output-tokens-mean 100 --request-count 180 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/disagg3p1d_isl2000_osl100/c90""",2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,14.465700322582553,288.097866,0.011987999999999999,13.805211499999999,16.4574543,17.33240325,23.261992319999973,17.58243676090734,1.763097836430192e+18,1.7630978319580506e+18,101.0,99.0,100.0,100.0,100.0,100.0,0.10540925533894598,180.0,2025-11-13T21:23:51.950621,21.701620133333332,32.753067,0.029151999999999997,24.623927,30.6056325,31.237505949999996,32.27370745,8.839884061754688,360000.0,18000.0,18000.0,False
