concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,output_token_count_avg,output_token_count_min,output_token_count_max,output_token_count_p50,output_token_count_p90,output_token_count_p95,output_token_count_p99,output_token_count_std,benchmark_duration_avg,end_time,error_isl_avg,error_isl_max,error_isl_min,error_isl_p50,error_isl_p90,error_isl_p95,error_isl_p99,error_isl_std,error_request_count_avg,error_summary_count,input_config_cli_command,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,inter_chunk_latency_avg,inter_chunk_latency_max,inter_chunk_latency_min,inter_chunk_latency_p50,inter_chunk_latency_p90,inter_chunk_latency_p95,inter_chunk_latency_p99,inter_chunk_latency_std,max_response_timestamp_avg,min_request_timestamp_avg,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,start_time,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std,total_error_isl_avg,total_isl_avg,total_osl_avg,total_output_tokens_avg,was_cancelled
1,4a,5000.0,100.0,132.272688,132.236354,132.309022,132.272688,132.3017552,132.3053886,132.30829531999998,0.036334,6.783109676767677,6.780652787878788,6.785566565656565,6.783109676767677,6.785075187878788,6.785320876767677,6.785517427878788,0.0024568888888889923,803.8005459999999,803.5936479999999,804.007444,803.8005459999999,803.9660643999999,803.9867542000001,804.0033060399999,0.206898,1.2401881237644374,124.01881237644373,147.4250275826817,147.37162922566375,147.4784259396997,147.4250275826817,147.4677462682961,147.4730861039979,147.47735797255933,0.05339835701796858,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.612658565,2025-11-13T23:09:50.821293,,,,,,,,,,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 5000 --synthetic-input-tokens-stddev 0 --concurrency 1 --output-tokens-mean 100 --request-count 2 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl5000_osl100/c1""",5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,6.783109676767677,7.3013189999999994,6.1815869999999995,6.769258,6.8801169,6.987195849999999,7.06840289,0.10269767954887687,1.763104190624428e+18,1.7631041890117696e+18,100.0,100.0,100.0,100.0,100.0,100.0,0.0,2.0,2025-11-13T23:09:49.009906,6.209159,6.236731,6.1815869999999995,6.209159,6.2312166,6.233973799999999,6.236179559999999,0.027572,,10000.0,200.0,200.0,False
10,4a,5000.05,100.05,208.06504280000001,126.672837,386.091621,140.64985149999998,342.76176610000005,378.98705644999995,384.67070808999995,90.7025889514793,8.509355322247476,6.9653178383838386,11.222095,8.387103333333334,9.894346705050507,11.13589938888889,11.204855877777778,1.2256913956940902,1050.85630315,827.96452,1243.043619,990.2199324999999,1242.4093244,1242.5242084000001,1242.93973688,137.56514112911168,8.93933334432603,894.3803010998193,119.83006985974491,89.10992109762036,143.56846639349192,119.23137724169176,141.2326506441827,142.43191677611705,143.34115647001693,16.252024650384737,100.05,100.0,101.0,100.0,100.0,100.05,100.81,0.21794494717703367,2.2373033010000003,2025-11-13T23:10:06.509327,,,,,,,,,,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 5000 --synthetic-input-tokens-stddev 0 --concurrency 10 --output-tokens-mean 100 --request-count 20 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl5000_osl100/c10""",5001.0,5000.0,5000.0,5000.0,5000.05,5000.81,0.21794494717703367,8.513043033838384,257.25246699999997,6.185737,7.301061,7.6065529,7.7757802499999995,13.654035050000026,13.943753015071556,1.7631042062607777e+18,1.7631042040234744e+18,101.0,100.0,100.0,100.0,100.05,100.81,0.21794494717703367,20.0,2025-11-13T23:10:04.021071,57.139683999999995,257.25246699999997,6.185737,7.413434,144.77184240000017,254.30004275,256.66198215,79.39074532263538,,100001.0,2001.0,2001.0,False
20,4a,5000.0,99.975,422.397814275,128.364901,620.571207,520.0986594999999,610.5423286,614.30179485,619.2084175199999,173.67407184317466,9.92692256357452,7.891035282828282,12.955048888888888,8.95142952020202,12.89072938888889,12.907790213131314,12.943279153737373,1.7665563254064165,1404.8863595,1391.439829,1413.848239,1406.4773635,1409.0824585,1411.0183025999997,1413.51195526,4.613365677417989,14.180329500403976,1417.6784418028876,103.73299549849798,77.18998273002786,126.72608398749712,111.71401409706556,124.94892972642542,125.1358267638156,126.68939696476141,16.98161957302042,99.975,99.0,100.0,100.0,100.0,100.0,100.0,0.15612494995995996,2.820808924,2025-11-13T23:10:22.749632,,,,,,,,,,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 5000 --synthetic-input-tokens-stddev 0 --concurrency 20 --output-tokens-mean 100 --request-count 40 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl5000_osl100/c20""",5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,9.924126719444445,498.34525599999995,7.273516,7.9687969999999995,8.0999316,8.14554725,10.141788949999992,26.09018223178995,1.7631042225115459e+18,1.763104219690737e+18,100.0,99.0,100.0,100.0,100.0,100.0,0.15612494995995996,40.0,2025-11-13T23:10:19.687586,200.74422782499997,498.34525599999995,7.883208,101.54649549999999,493.5821416,495.91265455,497.96682652,174.92976676590092,,200000.0,3999.0,3999.0,False
30,4a,5000.016666666666,99.98333333333333,473.7858738833333,128.448757,1009.3652609999999,416.3755065,852.0639877,940.6845420999997,1008.82672847,249.91401284197138,12.919771566695868,8.589294626262625,21.357890767676768,12.495649631313132,17.37730611212121,18.600029257575752,20.894141679292925,3.331352175381916,1752.6960645833333,1080.587472,2247.123951,1716.710916,2245.2406605,2246.04954365,2246.74488544,353.73968459809856,15.834809322521561,1583.2170187634474,82.5718217223126,46.82110283630673,116.42399562618334,80.02787690520837,113.34495557149447,114.94243664230213,116.39953150947515,20.67665728321594,99.98333333333333,99.0,100.0,100.0,100.0,100.0,100.0,0.12801909579781012,3.7891204610000004,2025-11-13T23:10:39.895849,,,,,,,,,,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 5000 --synthetic-input-tokens-stddev 0 --concurrency 30 --output-tokens-mean 100 --request-count 60 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl5000_osl100/c30""",5001.0,5000.0,5000.0,5000.0,5000.0,5000.41,0.12801909579781015,12.918284754545454,886.988801,0.006788,8.579124499999999,8.927970499999999,9.8358807,239.89301111999998,43.64801763716191,1.763104239844304e+18,1.7631042360551834e+18,100.0,99.0,100.0,100.0,100.0,100.0,0.12801909579781012,60.0,2025-11-13T23:10:36.051486,226.16445403333333,886.988801,7.205614,108.3026165,608.978432,730.2355182,840.5036149099997,236.8763805783385,,300001.0,5999.0,5999.0,False
40,4a,5000.0,99.975,603.440242175,28.177104,1260.453439,547.641587,1139.2768065999999,1235.32071875,1252.2976212,325.06954511330815,14.898292505183209,9.567589656565657,26.683469929292926,14.397775853535354,20.60711068787879,22.650483739393934,25.10141728585857,4.229564568109185,2078.1010633875,981.9189289999999,2849.8617839999997,2181.5735695,2844.9479993,2845.8564568,2848.48439372,434.18986756109723,17.886442534853956,1788.197092422024,72.45899195623501,37.47638529208703,104.51953270317782,69.47561960337711,102.4658033026524,103.12528773165882,103.95242598528166,19.477442210410157,99.975,99.0,100.0,100.0,100.0,100.0,100.0,0.15612494995995999,4.472661338,2025-11-13T23:10:57.706064,,,,,,,,,,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 5000 --synthetic-input-tokens-stddev 0 --concurrency 40 --output-tokens-mean 100 --request-count 80 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl5000_osl100/c40""",5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,14.895563850631312,1128.11932,0.006658,9.6638035,9.931778699999999,10.028152599999999,239.46584830999873,60.4980722625824,1.763104257669371e+18,1.7631042531967096e+18,100.0,99.0,100.0,100.0,100.0,100.0,0.15612494995995999,80.0,2025-11-13T23:10:53.192469,433.6706201,1128.11932,8.701767,330.059134,938.1898437,1055.25308785,1127.0221545699999,349.7886312127172,,400000.0,7998.0,7998.0,False
50,4a,5000.05,100.01,642.71835495,129.41715399999998,1625.379635,525.3991475,1347.3327857999998,1441.1384695499999,1567.4027006000003,412.8157210824818,17.711447581944448,8.498683434343434,35.56774557575758,16.850754984848482,25.276343585858587,27.463973257070702,33.59553154575758,5.759787385914195,2396.28619033,1297.51145,3659.368463,2321.9972905,3653.7915218,3657.0561244499995,3657.48390197,666.6582951109797,19.965283869269072,1996.7280397656,62.712612851301735,28.115360808293243,117.66528400845827,59.36081138692805,100.58830580665621,106.13220271943042,108.55572480752059,20.832516102898143,100.01,100.0,101.0,100.0,100.0,100.0,100.01,0.09949874371066199,5.008694124000001,2025-11-13T23:11:16.002342,,,,,,,,,,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 5000 --synthetic-input-tokens-stddev 0 --concurrency 50 --output-tokens-mean 100 --request-count 100 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl5000_osl100/c50""",5001.0,5000.0,5000.0,5000.0,5000.05,5001.0,0.21794494717703367,17.71459577108799,1504.1761709999998,1.453137,9.731817999999999,10.2494894,12.490310099999999,368.6028365,69.02843189688863,1.7631042760005998e+18,1.7631042709919058e+18,101.0,100.0,100.0,100.0,100.0,100.01,0.09949874371066199,100.0,2025-11-13T23:11:10.987017,360.80015483999995,1504.1761709999998,6.823208999999999,229.71681049999998,957.7540003000009,1149.1832155999996,1341.178163520001,393.25808720122797,,500005.0,10001.0,10001.0,False
60,4a,5000.0,100.0,745.6651287999999,39.767327,1845.0577309999999,533.509736,1553.4324258,1729.8453765999998,1751.88654895,490.3878407033959,19.524291059370025,9.360518333333333,39.42169568686869,19.311499368686867,28.513769237373737,31.41136141414141,37.077103246464645,6.636545631666371,2678.5677370416665,1432.0062839999998,4037.673293,2474.725363,4033.1708241999995,4034.9607002,4037.15453711,724.2460190003607,21.696427102464224,2169.642710246422,57.721350019244056,25.366742413698315,106.83169076641231,51.79169553378931,93.00934227125207,101.68031768002564,104.14239564077417,20.698963911923464,100.0,99.0,101.0,100.0,100.0,100.0,100.81,0.18257418583505536,5.5308645720000005,2025-11-13T23:11:34.857873,,,,,,,,,,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 5000 --synthetic-input-tokens-stddev 0 --concurrency 60 --output-tokens-mean 100 --request-count 120 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl5000_osl100/c60""",5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,19.524268770117846,1721.61728,0.0077529999999999995,9.988745999999999,12.2878131,12.869465799999999,373.56027801999994,84.07467315038923,1.7631042948552486e+18,1.763104289324384e+18,101.0,99.0,100.0,100.0,100.0,100.81,0.18257418583505536,120.0,2025-11-13T23:11:29.318823,458.06500911666666,1721.61728,7.5543309999999995,301.271275,1229.5588767,1393.1665845999999,1627.7324959999999,468.47830700092885,,600000.0,12000.0,12000.0,False
70,4a,5000.0,100.00714285714285,845.4882756214286,41.619696999999995,2135.310152,702.9242925,1757.6501305000006,2003.3720935,2105.67297052,577.8077478535771,22.58442547590332,9.558309333333334,47.4439308989899,20.875749393939394,33.55594843131315,39.235771139898986,44.7087396182828,8.474491327431075,3081.4940268928567,1333.3171049999999,4830.2427529999995,3176.98441,4826.9502169,4827.934439149999,4829.99248519,993.2203565386823,21.325097864872557,2132.662108614862,50.89257391826334,21.077511518365572,104.62101247473053,47.90247201226302,81.28629708567465,88.23041712610022,99.88632412302299,19.191333579608262,100.00714285714285,100.0,101.0,100.0,100.0,100.0,100.0,0.08421304373251139,6.56503435,2025-11-13T23:11:55.014857,,,,,,,,,,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 5000 --synthetic-input-tokens-stddev 0 --concurrency 70 --output-tokens-mean 100 --request-count 140 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl5000_osl100/c70""",5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,22.587546372609857,1985.8384489999999,0.00688,12.156915,12.749679800000001,13.5082601,378.44917342,103.693049208893,1.763104314893293e+18,1.7631043083282586e+18,101.0,100.0,100.0,100.0,100.0,100.0,0.08421304373251139,140.0,2025-11-13T23:11:48.321989,605.5829431071428,1985.8384489999999,9.922754,461.981026,1468.8241798000001,1689.747717399999,1916.053145049999,559.5870466904713,,700000.0,14001.0,14001.0,False
80,4a,5000.0375,100.0,934.9624681875,39.452794999999995,2464.7661049999997,722.9338574999999,2157.3541638,2251.27207745,2458.99250255,674.6271367500208,24.58821306635101,9.465871595959596,54.7488587070707,23.592039045454545,40.59980819191919,45.41586249949492,51.62351377626262,10.646569701121951,3369.19556175625,1307.810276,5555.306133,3451.3913399999997,5551.334659,5552.9489588999995,5555.159258709999,1261.5943492553995,22.093719765788773,2209.3719765788774,49.080435107572775,18.265220930913248,105.64267535879517,42.38719074583577,80.6147248865309,93.17362762471964,98.46591826578309,21.598948460145845,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,7.241876954,2025-11-13T23:12:15.438963,,,,,,,,,,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 5000 --synthetic-input-tokens-stddev 0 --concurrency 80 --output-tokens-mean 100 --request-count 160 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl5000_osl100/c80""",5001.0,5000.0,5000.0,5000.0,5000.0,5001.0,0.1899835519196333,24.59287080703416,2345.730341,2.838688,12.152334999999999,12.8710524,13.806252199999994,498.75016407999993,115.11262283960484,1.763104335437154e+18,1.763104328195277e+18,100.0,100.0,100.0,100.0,100.0,100.0,0.0,160.0,2025-11-13T23:12:08.188512,640.4218058125,2345.730341,9.023747,446.5880575,1742.0347517999999,1944.8694530999999,2226.375161329999,644.4757277727736,,800006.0,16000.0,16000.0,False
90,4a,5000.027777777777,100.01666666666667,969.2487564166665,130.577663,2720.3513909999997,644.0365775,2258.4502604999993,2548.2039340999995,2698.91559271,755.8386874777894,25.58567996720651,10.95792002020202,53.85628559595959,24.09994503030303,39.39422335816161,44.76519064646463,50.344490401313145,9.852403450517967,3502.8153892888886,1485.0655299999999,5472.097441,3583.1468124999997,5465.743449399999,5468.985070199999,5472.00587854,1219.001574091157,24.47785939180972,2448.1939035041687,45.42624883959273,18.56793480898768,91.25819481766614,41.49401677274542,76.28847207231541,81.41198233978632,87.8457332396592,18.04071726355425,100.01666666666667,100.0,101.0,100.0,100.0,100.0,101.0,0.12801909579781012,7.353584197000001,2025-11-13T23:12:36.180114,,,,,,,,,,0,"aiperf profile -m ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --tokenizer ""/models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B"" --endpoint-type ""chat"" --streaming -u ""http://127.0.0.1:8003"" --synthetic-input-tokens-mean 5000 --synthetic-input-tokens-stddev 0 --concurrency 90 --output-tokens-mean 100 --request-count 180 --extra-inputs ""max_tokens:100"" --extra-inputs ""min_tokens:100"" --extra-inputs ""ignore_eos:true"" --artifact-dir ""/workspace/cjworkspace/temp/sglangv2/disagg/agg4a_isl5000_osl100/c90""",5002.0,5000.0,5000.0,5000.0,5000.0,5001.21,0.221874728307954,25.594454704063306,2598.7192919999998,0.006709,12.122131999999999,12.777707699999999,13.36353464999999,487.32880771999993,127.70064661500743,1.7631043561760696e+18,1.7631043488224855e+18,101.0,100.0,100.0,100.0,100.0,101.0,0.12801909579781012,180.0,2025-11-13T23:12:28.815399,741.1738206944444,2598.7192919999998,8.797066,482.05861749999997,1921.0195824999994,2207.6851099499995,2532.20962731,741.885095023966,,900005.0,18003.0,18003.0,False
